PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Dane Belton,2567988,DB,NYG,WAS,4,4,1,1,,2,,,,,,,,,1,,,1,19.40
Antonio Johnson,2569879,DB,JAX,NYJ,5,,,,1,,,,,,,,,3,,5,,2,18.67
Jordan Battle,2569648,DB,CIN,BAL,7,1,,1,1,,,,,,,,,1,,,,3,18.60
Nick Emmanwori,2574558,DB,SEA,IND,6,1,1,1,,,,,,,,,,2,1,,,4,18.60
Alohi Gilman,2565042,DB,BAL,@CIN,5,3,,,,,,1,,,,,,1,,84,,5,18.60
Xavier McKinney,2564766,DB,GB,@DEN,7,1,,,,,,,,,,,,3,,,,6,18.60
Riley Moss,2569723,DB,DEN,GB,4,,,,1,,,,,,,,,3,,,,7,17.00
Derwin James,2560760,DB,LAC,@KC,2,8,,,1,,,,,,,,,2,,,,8,16.30
C.J. Gardner-Johnson,2562588,DB,CHI,CLE,3,1,,1,1,,,,,,,,,2,,32,,9,16.17
Mike Jackson,2562434,DB,CAR,@NO,5,1,,1,,1,,,,,,,,1,,,,10,15.60
Antoine Winfield Jr.,2565261,DB,TB,ATL,8,5,,,,,,,,,,,,,,,,11,15.00
Jaycee Horn,2565893,DB,CAR,@NO,6,1,,,,,,,,,,,,2,,,,12,14.60
Kamari Lassiter,2572102,DB,HOU,ARI,3,2,,,1,,,,,,,,,2,,,,13,14.20
Brandon Stephens,2565851,DB,NYJ,@JAX,5,,,,,1,,,,,,,,1,,,,14,13.50
Tyler Nubin,2572345,DB,NYG,WAS,6,2,,2,,,,,,,,,,,,,,15,13.20
Erick Hallett,2569903,DB,TEN,@SF,5,5,,,,,,,,,,,,1,,,,16,13.00
Tre'Davious White,2557867,DB,BUF,@NE,2,,,1,1,,,,,,,,,2,,,,17,13.00
Marcus Harris,2574151,DB,TEN,@SF,5,2,,1,,,,,,,,,,1,,,,18,12.70
Jaylinn Hawkins,2563500,DB,NE,BUF,4,7,,,,,,,,,,,,1,,,,19,12.70
Eric Murray,2555173,DB,JAX,NYJ,4,2,1,2,,,,,,,,,,,1,,,20,12.70
Malachi Moore,2574444,DB,NYJ,@JAX,6,3,,,,,1,,,,,,,,,,25,21,12.63
Quan Martin,2570377,DB,WAS,@NYG,5,4,,,,,,,,,,,,1,,,,22,12.40
Mike Sainristil,2572582,DB,WAS,@NYG,3,,,,1,,,,,,,,,1,,55,,23,12.33
Marcus Jones,2567943,DB,NE,BUF,8,2,,,,,1,,,,,,,,,,,24,12.20
Montaric Brown,2567727,DB,JAX,NYJ,4,,,,1,,,,,,,,,1,,,,25,12.00
Pat Surtain II,2566043,DB,DEN,GB,4,,,,1,,,,,,,,,1,,,,26,12.00
Christian Izien,2571593,DB,TB,ATL,4,4,,,,1,,,,,,,,,,,,27,11.90
Harrison Smith,2532948,DB,MIN,@DAL,3,3,,,,,,,,,,,,2,1,,,28,11.80
Cobee Bryant,2573908,DB,ATL,@TB,5,,,1,,,,,,,,,,1,,,,29,11.50
Malik Mustapha,2572504,DB,SF,TEN,6,4,,,,,,,,,,,,,,,,30,11.40
Isaiah Pola-Mao,2568993,DB,LV,@PHI,6,4,,,,,,,,,,,,,,,,31,11.40
Nick Scott,2562905,DB,CAR,@NO,6,4,,,,,,,,,,,,,,,,32,11.40
Nick Cross,2567700,DB,IND,@SEA,4,3,,,,1,,,,,,,,,,,,33,11.30
Avonte Maddox,2560795,DB,DET,@LAR,3,3,,,,,,,,,,,,2,,,,34,11.30
Bryan Cook,2567787,DB,KC,LAC,5,2,,,,,,,,,,,,1,,,,35,11.20
Amani Hooker,2562666,DB,TEN,@SF,5,2,,,,,,,,,,,,1,,,,36,11.20
Jalen Ramsey,2555280,DB,PIT,MIA,4,2,1,1,,,,,,,,,,,1,,,37,11.20
Camryn Bynum,2566295,DB,IND,@SEA,7,1,,,,,,,,,,,,,,,,38,11.10
Nate Wiggins,2571847,DB,BAL,@CIN,4,4,,,,,,,,,,,,1,,,,39,10.90
Garrett Williams,2570221,DB,ARI,@HOU,5,3,,1,,,,,,,,,,,,,,40,10.80
Antonio Hamilton,2556804,DB,WAS,@NYG,3,2,,,,,,,,,,,,2,,,,41,10.70
