PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Matt Milano,2557969,LB,BUF,@NE,9,1,2,2,,1,,,,,,,,,2,,,1,25.60
Jordyn Brooks,2565135,LB,MIA,@PIT,7,6,1,2,,,,,,,,,,1,1,,,2,22.10
Devin White,2562781,LB,LV,@PHI,9,7,,2,,,,,,,,,,,,,,3,20.70
Demetrius Knight Jr.,2574031,LB,CIN,BAL,5,1,2,2,,1,,,,,,,,,2,,,4,19.60
D'Marco Jackson,2567967,LB,CHI,CLE,2,5,1,1,1,,,,,,,,,2,1,,,5,18.50
Edgerrin Cooper,2572030,LB,GB,@DEN,7,1,,2,,,1,,,,,,,1,,,,6,17.60
Drue Tranquill,2562765,LB,KC,LAC,8,6,,1,,,,,,,,,,,1,,,7,17.60
Patrick Queen,2563575,LB,PIT,MIA,9,1,,2,,,,,,,,,,,,,,8,17.10
Jack Campbell,2569741,LB,DET,@LAR,9,5,,,,,,,,,,,,,,,,9,16.50
Cedric Gray,2572063,LB,TEN,@SF,7,9,,,,,,,,,,,,,,,,10,15.90
Roquan Smith,2560877,LB,BAL,@CIN,8,6,,,,,,,,,,,,,,,,11,15.60
Odafe Oweh,2565848,LB,LAC,@KC,4,,2,3,,,,,,,,,,,2,,,12,15.50
Elandon Roberts,2556119,LB,LV,@PHI,6,3,,3,,,,,,,,,,,,,,13,15.30
Jack Gibbens,2568810,LB,NE,BUF,4,5,1,2,,,,,,,,,,,1,,,14,14.50
Zaire Franklin,2561155,LB,IND,@SEA,7,3,,1,,,,,,,,,,,,,,15,13.80
Azeez Al-Shaair,2562462,LB,HOU,ARI,7,5,,,,,,,,,,,,,,,,16,13.50
Tyrel Dodson,2562560,LB,MIA,@PIT,8,2,,,,,,,,,,,,,,,,17,13.20
Nick Bolton,2566175,LB,KC,LAC,5,6,,1,,,,,,,,,,,1,,,18,13.10
Nate Landman,2568519,LB,LAR,DET,6,4,,1,,,,,,,,,,,,,,19,12.90
Carson Schwesinger,2574064,LB,CLE,@CHI,4,10,,,,,,,,,,,,,1,,,20,12.50
T.J. Edwards,2562648,LB,CHI,CLE,5,4,,1,,,,,,,,,,,2,,,21,12.40
