PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Dane Belton,2567988,DB,NYG,WAS,2.37,2.58,0.05,0.05,0.05,0.1,0.05,,,,,,,0.26,,,,6.50,99,1,19.40,12.9
Antonio Johnson,2569879,DB,JAX,NYJ,3.11,1.65,,,0.1,,,,,,,,,,,,,6.01,106,2,18.67,12.66
Jordan Battle,2569648,DB,CIN,BAL,3.88,2.53,0.06,0.24,0.12,,0.06,0.06,,,,,,0.41,,3.76,,9.69,13,3,18.60,8.91
Nick Emmanwori,2574558,DB,SEA,IND,2.3,1.86,0.07,0.15,0.15,0.07,,,,,,,,0.3,0.22,,,6.56,97,4,18.60,12.04
Alohi Gilman,2565042,DB,BAL,@CIN,5.34,1.46,0.08,0.16,0.16,,,,,,,,,0.49,,3.32,,11.18,5,5,18.60,7.42
Xavier McKinney,2564766,DB,GB,@DEN,2.97,1.43,0.06,0.11,0.23,0.06,0.06,0.06,,,,,,0.57,0.11,5.54,,8.58,36,6,18.60,10.02
Riley Moss,2569723,DB,DEN,GB,2.02,0.96,,,,,,,,,,,,0.38,,,,4.56,137,7,17.00,12.44
Derwin James,2560760,DB,LAC,@KC,3.47,1.88,0.18,0.49,0.12,,0.06,,,,,,,0.43,0.36,0.3,,9.17,22,8,16.30,7.13
C.J. Gardner-Johnson,2562588,DB,CHI,CLE,,,,,,,,,,,,,,,,,,0.00,358,9,16.17,16.17
Mike Jackson,2562434,DB,CAR,@NO,3.47,0.94,,0.12,0.12,,,,,,,,,0.88,,0.82,,8.60,33,10,15.60,7.0
Antoine Winfield Jr.,2565261,DB,TB,ATL,3.02,2.22,0.18,0.18,0.12,0.12,0.06,,,,,,,0.31,0.37,1.29,,8.40,42,11,15.00,6.6
Jaycee Horn,2565893,DB,CAR,@NO,2.06,1.03,0.06,0.23,0.17,,,0.06,,,,,,0.69,0.11,3.2,,6.89,81,12,14.60,7.71
Kamari Lassiter,2572102,DB,HOU,ARI,2.64,1.14,,0.18,0.12,,,,,,,,,0.54,,0.84,,6.71,92,13,14.20,7.49
Brandon Stephens,2565851,DB,NYJ,@JAX,2.51,0.64,0.05,0.05,0.05,,,,,,,,,0.53,0.11,1.6,,5.93,108,14,13.50,7.57
Tyler Nubin,2572345,DB,NYG,WAS,3.96,3.12,,0.3,,0.12,0.06,,,,,,,0.18,,,,9.19,21,15,13.20,4.01
Erick Hallett,2569903,DB,TEN,@SF,1.12,0.7,,,,,,,,,,,,,,,,2.10,195,16,13.00,10.9
Tre'Davious White,2557867,DB,BUF,@NE,1.43,1.06,,,0.08,,,,0.08,,,,,0.23,,,0.08,3.96,150,17,13.00,9.04
Marcus Harris,2574151,DB,TEN,@SF,,,,,,,,,,,,,,,,,,0.00,385,18,12.70,12.7
Jaylinn Hawkins,2563500,DB,NE,BUF,3.41,1.27,,0.18,0.04,0.04,,,,,,,,0.18,,1.14,,6.92,80,19,12.70,5.78
Eric Murray,2555173,DB,JAX,NYJ,3.6,1.83,0.07,0.07,0.07,0.07,,,,,,,,0.52,0.2,,,8.63,32,20,12.70,4.07
Malachi Moore,2574444,DB,NYJ,@JAX,2.35,2.03,,0.16,0.05,,,,,,,,,0.16,,0.91,,5.59,114,21,12.63,7.04
Quan Martin,2570377,DB,WAS,@NYG,2.76,1.91,0.03,0.11,0.06,0.11,,,,,,,,0.23,0.06,1.35,,6.76,90,22,12.40,5.64
Mike Sainristil,2572582,DB,WAS,@NYG,3.12,1.59,,0.06,0.06,0.06,0.06,,,,,,,0.73,,1.04,,8.06,55,23,12.33,4.27
Marcus Jones,2567943,DB,NE,BUF,3.38,0.85,,0.08,0.15,0.08,0.08,0.08,,,,,,0.77,,3.69,,8.95,26,24,12.20,3.25
Montaric Brown,2567727,DB,JAX,NYJ,1.18,0.52,,,0.1,,,,,,,,,0.41,,0.62,,3.48,162,25,12.00,8.52
Pat Surtain II,2566043,DB,DEN,GB,2.19,0.73,,0.06,0.17,0.06,,0.06,,,,,,0.62,,4.39,,6.55,98,26,12.00,5.45
Christian Izien,2571593,DB,TB,ATL,1.38,0.78,,0.06,,,,,,,,,,0.06,,0.66,,2.80,182,27,11.90,9.1
Harrison Smith,2532948,DB,MIN,@DAL,3.24,1.68,0.09,0.12,0.12,0.06,,,,,,,,0.48,0.12,0.54,,8.14,54,28,11.80,3.66
Cobee Bryant,2573908,DB,ATL,@TB,,,,,,,,,,,,,,,,,,0.00,298,29,11.50,11.5
Malik Mustapha,2572504,DB,SF,TEN,1.27,0.93,,0.03,0.03,0.03,,,,,,,,0.13,,0.3,,3.05,173,30,11.40,8.35
Isaiah Pola-Mao,2568993,DB,LV,@PHI,3.4,1.58,0.05,0.1,0.05,0.1,0.05,,,,,,,0.3,0.1,1.18,,7.71,65,31,11.40,3.69
Nick Scott,2562905,DB,CAR,@NO,1.68,1.26,,,,,,,,,,,,0.18,,,,3.73,156,32,11.40,7.67
Nick Cross,2567700,DB,IND,@SEA,4.05,2.7,,0.35,0.1,0.05,,,,,,,,0.3,,1.1,,9.53,17,33,11.30,1.77
Avonte Maddox,2560795,DB,DET,@LAR,1.99,0.69,,0.14,0.07,0.14,0.07,,,,,,,0.21,,,,4.94,128,34,11.30,6.36
Bryan Cook,2567787,DB,KC,LAC,2.65,0.95,,0.05,0.05,,0.05,,,,,,,0.2,,0.35,,5.36,121,35,11.20,5.84
Amani Hooker,2562666,DB,TEN,@SF,2.72,1.66,,0.2,0.13,0.07,0.07,,,,,,,0.47,0.07,1.33,,7.40,70,36,11.20,3.8
Jalen Ramsey,2555280,DB,PIT,MIA,3.98,1.48,0.08,0.47,0.16,,,,,,,,,0.78,0.16,3.44,,10.43,9,37,11.20,0.77
Camryn Bynum,2566295,DB,IND,@SEA,4.15,1.45,,0.1,0.15,0.05,0.1,,,,,,,0.4,,0.7,,9.07,24,38,11.10,2.03
Nate Wiggins,2571847,DB,BAL,@CIN,2.26,0.85,,,0.18,0.06,,0.06,,,,,,0.98,,4.69,,7.59,67,39,10.90,3.31
Garrett Williams,2570221,DB,ARI,@HOU,2.03,0.88,,,0.16,0.05,,,,,,,,0.44,,1.26,,5.45,117,40,10.80,5.35
Antonio Hamilton,2556804,DB,WAS,@NYG,1.86,0.59,,,0.1,,,,,,,,,0.2,,,,3.99,148,41,10.70,6.71
Dee Alford,2567244,DB,ATL,@TB,1.29,0.62,,0.06,,,,,,,,,,0.28,,,,3.10,170,42,10.50,7.4
Jessie Bates,2560970,DB,ATL,@TB,4.2,2.1,,0.17,0.22,0.17,0.06,0.06,,,,,,0.55,0.06,3.59,,11.00,6,43,10.20,-0.8
Jack Jones,2567940,DB,MIA,@PIT,2.6,1.13,,0.2,0.2,,,0.07,,,,,,0.87,0.07,4.8,,8.23,50,44,10.20,1.97
Calen Bullock,2572081,DB,HOU,ARI,3.68,1.19,,0.06,0.19,0.06,0.06,,,,,,,0.75,,4.12,,9.27,20,45,10.10,0.83
Byron Murphy,2562318,DB,MIN,@DAL,2.76,1.08,,0.24,0.24,0.06,0.06,0.06,,,,,,0.78,,4.26,,8.59,34,46,10.10,1.51
Xavier Watts,2573921,DB,ATL,@TB,3.75,1.16,,0.11,0.11,,,,,,,,,0.33,0.06,1.99,,7.79,63,47,9.90,2.11
Emmanuel Forbes,2570371,DB,LAR,DET,1.61,0.64,,,,,,,,,,,,0.21,,,,3.32,167,48,9.70,6.38
Marlon Humphrey,2558067,DB,BAL,@CIN,3.3,1.1,,0.19,0.19,0.06,,,,,,,,0.58,0.13,1.62,,8.34,44,49,9.70,1.36
Devon Witherspoon,2570323,DB,SEA,IND,4.14,1.78,0.11,0.36,0.07,0.07,,,,,,,,,,,,8.53,38,50,9.70,1.17
Coby Bryant,2568234,DB,SEA,IND,5.18,1.69,0.06,0.19,0.12,0.06,,,,,,,,0.5,0.19,2.87,,11.26,4,51,9.60,-1.66
Chamarri Conner,2569927,DB,KC,LAC,4.5,1.5,0.09,0.31,0.13,0.13,0.06,,,,,,,0.38,0.38,2.94,,10.50,8,52,9.60,-0.9
Minkah Fitzpatrick,2560725,DB,MIA,@PIT,4.65,1.72,,0.07,0.14,0.07,,,,,,,,0.36,,3.15,,9.85,12,53,9.60,-0.25
Amik Robertson,2564430,DB,DET,@LAR,2.08,0.56,0.06,0.17,0.06,0.06,,,,,,,,0.45,0.06,1.01,,5.44,118,54,9.50,4.06
Ronnie Hickman Jr.,2570867,DB,CLE,@CHI,3.35,1.36,0.06,0.06,0.06,,0.06,,,,,,,0.12,0.19,1.49,,6.77,87,55,9.40,2.63
Budda Baker,2558009,DB,ARI,@HOU,4.29,2.09,0.05,0.33,0.05,0.05,,,,,,,,0.27,0.16,0.77,,9.41,19,56,9.30,-0.11
Johnathan Edwards,2574186,DB,IND,@SEA,,,,,,,,,,,,,,,,,,0.00,341,57,9.10,9.1
Malaki Starks,2573952,DB,BAL,@CIN,4.47,1.95,0.06,0.23,0.06,0.06,0.06,,,,,,,0.29,0.17,0.86,,9.66,15,58,9.10,-0.56
Jaylen Watson,2567811,DB,KC,LAC,1.21,0.67,,0.06,0.06,,,,,,,,,0.3,,1.34,,3.31,168,59,9.10,5.79
Asante Samuel Jr.,2566511,DB,PIT,MIA,2,1.17,,,0.17,,,,,,,,,0.5,,,,5.55,115,60,9.00,3.45
Tony Jefferson,2540164,DB,LAC,@KC,1.04,0.78,,,,,,,,,,,,0.78,,,,3.98,149,61,8.70,4.72
Quincy Riley,2574404,DB,NO,CAR,1.53,0.71,,,,,,,,,,,,,,,,2.72,184,62,8.60,5.88
