PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Abdul Carter,2574417,DL,NYG,WAS,2.14,1.25,0.55,0.59,,0.15,0.07,,,,,,,0.15,1.4,,,7.62,3,1,23.73,16.11
Jeffery Simmons,2562733,DL,TEN,@SF,1.25,1.2,0.23,0.45,,0.05,0.05,,,,,,,0.15,0.45,,,4.56,42,2,23.40,18.84
James Pearce Jr.,2573916,DL,ATL,@TB,1.41,0.65,0.15,0.18,,0.06,,,,,,,,0.06,1.12,,,4.00,57,3,16.60,12.6
Tuli Tuipulotu,2570266,DL,LAC,@KC,1.59,1,0.38,0.59,,0.06,,,,,,,,0.18,0.94,,,5.76,19,4,16.50,10.74
Aidan Hutchinson,2567547,DL,DET,@LAR,1.49,0.86,0.71,0.51,0.06,0.11,0.06,,,,,,,0.46,1.54,,,7.51,6,5,15.03,7.52
Austin Booker,2571904,DL,CHI,CLE,1.43,0.57,0.18,0.36,,,,,,,,,,,0.5,,,3.64,69,6,14.10,10.46
Chase Young,2565294,DL,NO,CAR,0.94,0.59,0.41,0.41,,,,,,,,,,0.12,1,,,4.00,58,7,13.20,9.2
Laiatu Latu,2572123,DL,IND,@SEA,1.16,0.89,0.29,0.32,,0.16,0.05,,,,,,,0.11,0.84,,,4.64,40,8,12.00,7.36
Kobie Turner,2569954,DL,LAR,DET,2.04,1.78,0.51,0.57,,0.06,,,,,,,,0.19,0.96,,,7.17,7,9,11.70,4.53
Myles Murphy,2569663,DL,CIN,BAL,0.82,0.71,0.09,0.12,,,,,,,,,,0.12,,,,2.32,120,10,11.50,9.18
Cameron Heyward,2508109,DL,PIT,MIA,1.91,1.54,0.37,0.43,,,,,,,,,,0.37,0.86,,,6.53,14,11,11.20,4.67
Myles Garrett,2557965,DL,CLE,@CHI,1.54,0.7,0.65,0.95,,0.15,0.05,,,,,,,0.1,1.4,,,6.98,8,12,10.20,3.22
Ashton Gillotte,2574246,DL,KC,LAC,,,,,,,,,,,,,,,,,,0.00,276,13,9.77,9.77
Leonard Williams,2552486,DL,SEA,IND,2.15,1.5,0.39,0.72,,,,,,,,,,0.13,1.04,,,6.83,10,14,9.70,2.87
Quinnen Williams,2562599,DL,DAL,MIN,2.37,1.22,0.47,0.68,,0.07,0.07,,,,,,,0.2,1.42,,,7.77,1,15,9.60,1.83
Brandon Graham,496788,DL,PHI,LV,,,,,,,,,,,,,,,,,,0.00,279,16,9.50,9.5
Javon Kinlaw,2565117,DL,WAS,@NYG,1.09,0.97,0.2,0.29,,,,,,,,,,0.11,0.34,,,3.50,76,17,9.50,6.0
Walter Nolen,2574485,DL,ARI,@HOU,1.18,0.65,0.12,0.12,,,0.06,,,,,,,0.06,0.53,,,3.06,94,18,9.20,6.14
Maxx Crosby,2562439,DL,LV,@PHI,1.86,1,0.63,0.9,,0.1,0.05,,,,,,,0.25,1.11,,,7.58,4,19,9.10,1.52
Grady Jarrett,2552327,DL,CHI,CLE,1.47,1.24,0.21,0.41,,,,,,,,,,0.06,0.59,,,4.43,47,20,9.10,4.67
Charles Omenihu,2562324,DL,KC,LAC,0.82,0.48,,0.07,,,,,0.07,,,,,,,,0.07,1.91,131,21,8.70,6.79
Travis Jones,2567277,DL,BAL,@CIN,1.29,1.01,0.08,0.23,,,,,,,,,,0.06,0.28,,,3.34,81,22,8.20,4.86
Da'Shawn Hand,2561004,DL,LAC,@KC,0.88,0.47,0.06,0.18,,0.06,,,,,,,,0.06,0.18,,,2.44,116,23,8.10,5.66
