PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Jason Myers,2553112,K,SEA,IND,2.19,0.13,,0.46,0.53,0.53,0.27,,,0.07,8.04,15,1,24.00,15.96
Ka'imi Fairbairn,2556521,K,HOU,ARI,2.44,0.13,,0.46,0.59,0.53,0.4,,,0.07,9.12,2,2,18.00,8.88
Brandon Aubrey,2571750,K,DAL,MIN,2.57,0.07,,0.47,0.54,0.61,0.61,,,0.07,10.74,1,3,16.60,5.86
Brandon McManus,2541556,K,GB,@DEN,2.25,0.13,,0.44,0.5,0.5,0.31,,,,8.10,13,4,16.00,7.9
Blake Grupe,2571234,K,IND,@SEA,1.83,0.12,,0.35,0.47,0.41,0.3,,,,6.95,27,5,15.00,8.05
Will Reichard,2572273,K,MIN,@DAL,2.2,0.12,,0.36,0.48,0.48,0.36,,,0.06,7.90,19,6,15.00,7.1
Eddy Pineiro,2560842,K,SF,TEN,2.42,0.27,,0.27,0.81,0.54,0.27,,,,8.36,12,7,14.00,5.64
Cameron Dicker,2568435,K,LAC,@KC,2.3,0.12,0.06,0.35,0.53,0.53,0.35,,,,8.57,11,8,12.00,3.43
Cam Little,2572147,K,JAX,NYJ,2.64,0.14,,0.5,0.57,0.5,0.36,,,0.07,9.02,4,9,12.00,2.98
Harrison Mevis,2572932,K,LAR,DET,2.26,0.28,,0.28,0.57,0.57,0.28,,,,7.37,23,10,12.00,4.63
Nick Folk,2507225,K,NYJ,@JAX,1.76,0.05,,0.32,0.48,0.43,0.16,,,0.05,6.37,29,11,11.00,4.63
Chase McLaughlin,2563203,K,TB,ATL,2.73,0.13,,0.39,0.52,0.52,0.39,,,,8.97,6,12,11.00,2.03
Jake Bates,2571759,K,DET,@LAR,3.04,0.13,,0.32,0.52,0.52,0.39,,,0.06,9.01,5,13,10.00,0.99
Jake Moody,2570308,K,WAS,@NYG,2.74,0.12,,0.31,0.56,0.5,0.25,,,0.06,8.06,14,14,10.00,1.94
Charlie Smyth,2572330,K,NO,CAR,1.23,0.15,,0.31,0.46,0.62,0.15,,,,6.01,31,15,10.00,3.99
Harrison Butker,2558245,K,KC,LAC,2.69,0.13,0.06,0.38,0.5,0.44,0.38,,,,8.65,10,16,9.50,0.85
Andy Borregales,2574365,K,NE,BUF,1.97,0.11,,0.34,0.45,0.45,0.17,,,0.06,6.49,28,17,7.00,0.51
Jake Elliott,2558172,K,PHI,LV,2.91,0.13,,0.46,0.53,0.53,0.26,,,0.07,8.71,7,18,7.00,-1.71
Cairo Santos,2550636,K,CHI,CLE,1.96,0.06,,0.44,0.51,0.57,0.25,,,0.06,7.97,18,19,7.00,-0.97
Andre Szmyt,2570470,K,CLE,@CHI,,,,,,,,,,,0.00,53,20,6.50,6.5
Ryan Fitzgerald,2573979,K,CAR,@NO,2,0.06,,0.38,0.56,0.5,0.19,,,0.06,7.40,22,21,6.00,-1.4
Zane Gonzalez,2558178,K,ATL,@TB,2.11,0.23,,0.23,0.7,0.47,0.23,,,,7.24,24,22,6.00,-1.24
Tyler Loop,2573940,K,BAL,@CIN,3.04,0.2,,0.34,0.54,0.61,0.27,,,0.07,8.67,9,23,6.00,-2.67
Joey Slye,2563132,K,TEN,@SF,1.59,0.11,,0.33,0.38,0.38,0.27,,,0.05,6.10,30,24,6.00,-0.1
Riley Patterson,2567013,K,MIA,@PIT,2.46,0.19,,0.38,0.57,0.38,0.19,,,0.19,7.02,26,25,5.00,-2.02
Matt Prater,2506677,K,BUF,@NE,2.66,0.24,,0.24,0.73,0.48,0.24,,,,7.97,17,26,5.00,-2.97
Chris Boswell,2550545,K,PIT,MIA,2.23,0.07,,0.46,0.59,0.53,0.39,,,,9.11,3,27,4.00,-5.11
Wil Lutz,2556601,K,DEN,GB,2.16,0.12,,0.42,0.48,0.42,0.36,,,0.06,7.80,20,28,4.00,-3.8
Younghoe Koo,2559205,K,FA,Bye,2.06,0.13,,0.38,0.5,0.5,0.38,,,0.06,,16,29,3.00,
Chad Ryland,2570125,K,ARI,@HOU,1.95,0.11,,0.34,0.46,0.46,0.29,,,0.06,7.14,25,30,2.00,-5.14
Mike Badgley,2560965,K,FA,Bye,,,,,,,,,,,,32,31,0.00,
Tyler Bass,2563596,K,BUF,@NE,,,,,,,,,,,0.00,33,32,0.00,0.0
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,34,33,0.00,
Daniel Carlson,2560993,K,LV,@PHI,1.87,0.05,,0.38,0.38,0.44,0.38,,,,7.55,21,34,0.00,-7.55
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,35,35,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,36,36,0.00,
Graham Gano,71309,K,NYG,WAS,,,,,,,,,,,0.00,37,37,0.00,0.0
Matt Gay,2562271,K,FA,Bye,,,,,,,,,,,,38,38,0.00,
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,,39,39,0.00,
Lucas Havrisik,2569534,K,GB,@DEN,,,,,,,,,,,0.00,40,40,0.00,0.0
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,,41,41,0.00,
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,,42,42,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,43,43,0.00,
Joshua Karty,2572201,K,ARI,@HOU,,,,,,,,,,,0.00,44,44,0.00,0.0
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,,45,45,0.00,
Lenny Krieg,2573911,K,ATL,@TB,,,,,,,,,,,0.00,46,46,0.00,0.0
Jude McAtamney,2573503,K,FA,Bye,,,,,,,,,,,,47,47,0.00,
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,,48,48,0.00,
Evan McPherson,2565953,K,CIN,BAL,2.82,0.13,,0.39,0.52,0.52,0.33,,,0.07,8.69,8,49,0.00,-8.69
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,,49,50,0.00,
Jason Sanders,2561153,K,MIA,@PIT,,,,,,,,,,,0.00,50,51,0.00,0.0
Ben Sauls,2574499,K,NYG,WAS,,,,,,,,,,,0.00,51,52,0.00,0.0
Spencer Shrader,2573175,K,IND,@SEA,,,,,,,,,,,0.00,52,53,0.00,0.0
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,,54,54,0.00,
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,,55,55,0.00,
Matthew Wright,2562968,K,BUF,@NE,,,,,,,,,,,0.00,56,56,0.00,0.0
Cade York,2567487,K,FA,Bye,,,,,,,,,,,,57,57,0.00,
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,,58,58,0.00,
