PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Trevor Lawrence,2566163,QB,JAX,NYJ,202.76,1.36,0.64,20.07,0.37,,,,,0.01,,0.6,15.36,19,1,44.30,28.94
Bo Nix,2572003,QB,DEN,GB,189.81,1.51,0.74,23.86,0.25,,,,,0.01,,0.4,15.30,20,2,29.08,13.78
Brock Purdy,2568216,QB,SF,TEN,265.61,1.9,0.85,19.36,0.18,,,,,0.01,,0.31,18.98,7,3,26.20,7.22
Kirk Cousins,2532820,QB,ATL,@TB,226.01,1.34,0.72,2.73,0.02,,,,,0.01,,0.84,11.73,30,4,25.92,14.19
Jared Goff,2555334,QB,DET,@LAR,239.86,1.82,0.63,6.42,0.05,,,,,0.01,,0.41,15.80,16,5,25.52,9.72
Josh Allen,2560955,QB,BUF,@NE,242.92,1.91,0.77,32,0.63,,,,,0.01,,0.5,21.86,1,6,24.52,2.66
J.J. McCarthy,2572270,QB,MIN,@DAL,200.91,1.81,1.05,19.34,0.16,,,,,0.01,,0.48,15.17,22,7,23.50,8.33
Jalen Hurts,2564832,QB,PHI,LV,213.98,1.47,0.58,31.29,0.64,,,,,0.01,,0.54,19.23,6,8,22.90,3.67
C.J. Stroud,2569819,QB,HOU,ARI,244.05,1.55,0.67,17.52,0.11,,,,,0.01,,0.45,16.19,14,9,21.40,5.21
Jacoby Brissett,2555261,QB,ARI,@HOU,240.69,1.56,0.75,15.68,0.17,,,,,0.01,,0.65,15.72,17,10,20.56,4.84
Drake Maye,2572294,QB,NE,BUF,243.84,1.78,0.85,33.27,0.34,,,,,0.01,,0.64,19.32,5,11,20.50,1.18
Jaxson Dart,2574419,QB,NYG,WAS,235.91,1.7,0.62,29.64,0.47,,,,,0.01,,0.48,19.88,3,12,20.14,0.26
Matthew Stafford,79860,QB,LAR,DET,257.51,2.21,0.67,6.25,0.06,,,,,0.01,,0.3,18.25,9,13,19.92,1.67
Baker Mayfield,2560800,QB,TB,ATL,229.31,2.14,0.7,26.49,0.14,,,,,0.01,,0.65,18.58,8,14,19.18,0.6
Tyler Shough,2574406,QB,NO,CAR,228.8,1.34,0.82,21.6,0.21,,,,,0.01,,0.54,15.27,21,15,18.08,2.81
Caleb Williams,2571913,QB,CHI,CLE,185.2,1.32,0.49,24.73,0.23,,,,,0.01,,0.58,14.46,23,16,17.85,3.39
Aaron Rodgers,2506363,QB,PIT,MIA,210.03,1.85,0.54,8.84,0.08,,,,,0.01,,0.34,15.47,18,17,16.96,1.49
Tua Tagovailoa,2564499,QB,MIA,@PIT,205.59,1.56,0.83,6.58,0.05,,,,,0.01,,0.47,12.88,28,18,16.22,3.34
Bryce Young,2569606,QB,CAR,@NO,192.96,1.43,0.74,20.14,0.19,,,,,0.01,,0.56,14.05,25,19,15.42,1.37
Cam Ward,2574164,QB,TEN,@SF,190.77,1.12,0.65,12.88,0.1,,,,,0.01,,0.62,11.52,31,20,15.00,3.48
Jordan Love,2564007,QB,GB,@DEN,206.37,1.48,0.57,15.01,0.1,,,,,0.01,,0.4,14.40,24,21,13.94,-0.46
Lamar Jackson,2560757,QB,BAL,@CIN,241.6,2.23,0.6,35.71,0.17,,,,,0.01,,0.56,20.92,2,22,13.60,-7.32
Patrick Mahomes,2558125,QB,KC,LAC,236.51,1.82,0.7,34.97,0.25,,,,,0.01,,0.3,19.80,4,23,13.06,-6.74
Marcus Mariota,2552466,QB,WAS,@NYG,216.63,1.44,0.75,36.99,0.25,,,,,0.02,,0.97,16.30,13,24,12.74,-3.56
Dak Prescott,2555260,QB,DAL,MIN,268.98,2.07,0.91,11.82,0.1,,,,,0.01,,0.53,18.00,10,25,11.96,-6.04
Justin Herbert,2565045,QB,LAC,@KC,204.79,1.52,0.55,33.11,0.15,,,,,0.01,,0.32,16.80,12,26,10.40,-6.4
Sam Darnold,2561036,QB,SEA,IND,252.8,1.67,0.88,11.12,0.11,,,,,0.01,,0.52,15.82,15,27,9.34,-6.48
Brady Cook,2574435,QB,NYJ,@JAX,191.52,1.25,0.84,7.5,0.07,,,,,0.02,,0.9,10.47,32,28,8.94,-1.53
Philip Rivers,2506121,QB,IND,@SEA,203.89,1.37,0.77,5.09,0.05,,,,,,,,12.90,27,29,5.63,-7.27
Joe Burrow,2563722,QB,CIN,BAL,244.13,1.97,0.68,13.24,0.11,,,,,0.01,,0.49,17.35,11,30,5.50,-11.85
Shedeur Sanders,2574063,QB,CLE,@CHI,218.92,1.25,0.89,17.17,0.15,,,,,0.01,,0.54,13.57,26,31,3.48,-10.09
Tanner McKee,2570206,QB,PHI,LV,,,,,,,,,,,,,0.00,83,32,2.22,2.22
Kenny Pickett,2568162,QB,LV,@PHI,198.95,1.11,0.7,14.98,0.15,,,,,0.01,,0.61,12.24,29,33,1.26,-10.98
Nick Mullens,2558979,QB,JAX,NYJ,,,,,,,,,,,,,0.00,91,34,0.40,0.4
Brandon Allen,2555365,QB,TEN,@SF,,,,,,,,,,,,,0.00,33,35,0.00,0.0
Kyle Allen,2561177,QB,DET,@LAR,,,,,,,,,,,,,0.00,34,36,0.00,0.0
Tyson Bagent,2570467,QB,CHI,CLE,,,,,,,,,,,,,0.00,35,37,0.00,0.0
Connor Bazelak,2574581,QB,TB,ATL,,,,,,,,,,,,,0.00,36,38,0.00,0.0
Jason Bean,2573169,QB,FA,Bye,,,,,,,,,,,,,,37,39,0.00,
Stetson Bennett,2569939,QB,LAR,DET,,,,,,,,,,,,,0.00,38,40,0.00,0.0
Tim Boyle,2561187,QB,FA,Bye,,,,,,,,,,,,,,39,41,0.00,
Carter Bradley,2573208,QB,JAX,NYJ,,,,,,,,,,,,,0.00,40,42,0.00,0.0
Teddy Bridgewater,2543465,QB,TB,ATL,,,,,,,,,,,,,0.00,41,43,0.00,0.0
Max Brosmer,2574340,QB,MIN,@DAL,,,,,,,,,,,,,0.00,42,44,0.00,0.0
Jake Browning,2562634,QB,CIN,BAL,,,,,,,,,,,,,0.00,43,45,0.00,0.0
Shane Buechele,2566983,QB,BUF,@NE,,,,,,,,,,,,,0.00,44,46,0.00,0.0
Sean Clifford,2569762,QB,CIN,BAL,,,,,,,,,,,,,0.00,45,47,0.00,0.0
Andy Dalton,2495143,QB,CAR,@NO,,,,,,,,,,,,,0.00,46,48,0.00,0.0
Jayden Daniels,2572564,QB,WAS,@NYG,,,,,,,,,,,,,0.00,47,49,0.00,0.0
Hunter Dekkers,2574397,QB,NO,CAR,,,,,,,,,,,,,0.00,48,50,0.00,0.0
Tommy DeVito,2570578,QB,NE,BUF,,,,,,,,,,,,,0.00,49,51,0.00,0.0
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,50,52,0.00,
Joshua Dobbs,2558167,QB,NE,BUF,,,,,,,,,,,,,0.00,51,53,0.00,0.0
Jeff Driskel,2555262,QB,WAS,@NYG,,,,,,,,,,,,,0.00,52,54,0.00,0.0
Sam Ehlinger,2566142,QB,DEN,GB,,,,,,,,,,,,,0.00,53,55,0.00,0.0
Taylor Elgersma,2574129,QB,FA,Bye,,,,,,,,,,,,,,54,56,0.00,
Quinn Ewers,2574321,QB,MIA,@PIT,,,,,,,,,,,,,0.00,55,57,0.00,0.0
Justin Fields,2565920,QB,NYJ,@JAX,,,,,,,,,,,,,0.00,56,58,0.00,0.0
Joe Flacco,382,QB,CIN,BAL,,,,,,,,,,,,,0.00,57,59,0.00,0.0
Brett Gabbert,2574621,QB,FA,Bye,,,,,,,,,,,,,,58,60,0.00,
Dillon Gabriel,2574045,QB,CLE,@CHI,,,,,,,,,,,,,0.00,59,61,0.00,0.0
Ethan Garbers,2573980,QB,FA,Bye,,,,,,,,,,,,,,60,62,0.00,
Jimmy Garoppolo,2543801,QB,LAR,DET,,,,,,,,,,,,,0.00,61,63,0.00,0.0
Will Grier,2562404,QB,DAL,MIN,,,,,,,,,,,,,0.00,62,64,0.00,0.0
Jake Haener,2570131,QB,NO,CAR,,,,,,,,,,,,,0.00,63,65,0.00,0.0
