PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Kyle Pitts,2565830,TE,ATL,@TB,,,,,,4.72,53.77,0.34,,,,0.05,9.68,5,1,40.10,30.42
Trey McBride,2568117,TE,ARI,@HOU,,,,0.46,0.01,7.14,74.59,0.45,,,,0.07,13.70,1,2,31.40,17.7
Colby Parkinson,2565180,TE,LAR,DET,,,,,,2.04,23.06,0.23,,,,0.02,4.67,27,3,23.50,18.83
Darren Waller,2552408,TE,MIA,@PIT,,,,,,2.77,30.08,0.29,,,,0.03,6.07,23,4,22.10,16.03
Dallas Goedert,2560995,TE,PHI,LV,,,,0.06,,4.04,42.91,0.41,,,,0.06,8.66,8,5,22.00,13.34
George Kittle,2558266,TE,SF,TEN,,,,,,5.03,64.99,0.51,,,,0.06,11.95,2,6,18.80,6.85
Dalton Schultz,2560866,TE,HOU,ARI,,,,,,3.76,37.91,0.24,,,,0.09,6.93,21,7,17.60,10.67
Dawson Knox,2562681,TE,BUF,@NE,,,,,,1.79,20.63,0.17,,,,0.02,3.94,36,8,17.20,13.26
Gunnar Helm,2574152,TE,TEN,@SF,,,,0.11,,3.24,26.01,0.15,,,,0.03,5.07,25,9,12.90,7.83
Travis Kelce,2540258,TE,KC,LAC,,,,0.2,,4.16,46.64,0.35,,,,0.06,8.74,7,10,12.00,3.26
Jonnu Smith,2558207,TE,PIT,MIA,,,,0.23,,1.73,15.33,0.16,,,,0.03,3.32,42,11,9.60,6.28
Theo Johnson,2572333,TE,NYG,WAS,,,,,,3.35,39.54,0.32,,,,0.04,7.47,18,12,8.70,1.23
T.J. Hockenson,2562378,TE,MIN,@DAL,,,,,,3.51,34.46,0.24,,,,0.05,6.54,22,13,8.60,2.06
Harold Fannin Jr.,2574043,TE,CLE,@CHI,,,,1.24,0.01,5.85,63.37,0.38,,,,0.06,11.61,3,14,8.50,-3.11
Oronde Gadsden II,2574511,TE,LAC,@KC,,,,0.12,,4.03,46.49,0.24,,,,0.04,8.04,11,15,8.10,0.06
Colston Loveland,2574014,TE,CHI,CLE,,,,0.12,,3.31,37.14,0.3,,,,0.06,7.06,19,16,8.10,1.04
Brock Bowers,2572219,TE,LV,@PHI,,,,0.6,0.01,5.1,54.9,0.45,,,,0.04,10.78,4,17,7.30,-3.48
Luke Musgrave,2569780,TE,GB,@DEN,,,,,,1.54,14.86,0.08,,,,0.02,2.70,45,18,7.20,4.5
Devin Culp,2572543,TE,TB,ATL,,,,,,1.16,13.06,0.1,,,,0.01,2.47,47,19,7.10,4.63
Connor Heyward,2568138,TE,PIT,MIA,,,,,,,,,,,,,0.00,130,20,6.40,6.4
Pat Freiermuth,2566442,TE,PIT,MIA,,,,,,1.93,18.89,0.2,,,,0.03,3.99,34,21,6.00,2.01
Greg Dulcich,2567520,TE,MIA,@PIT,,,,,,0.61,6.25,0.05,,,,0.01,1.21,69,22,5.60,4.39
Chig Okonkwo,2567658,TE,TEN,@SF,,,,0.12,,2.66,24.27,0.08,,,,0.04,4.17,31,23,5.30,1.13
Daniel Bellinger,2567985,TE,NYG,WAS,,,,,,1.7,20.28,0.13,,,,0.02,3.62,39,24,5.00,1.38
Julian Hill,2571129,TE,MIA,@PIT,,,,,,0.68,6.14,0.05,,,,0.01,1.23,67,25,5.00,3.77
Juwan Johnson,2564676,TE,NO,CAR,,,,,,3.98,45.6,0.29,,,,0.04,8.21,10,26,5.00,-3.21
Dalton Kincaid,2569594,TE,BUF,@NE,,,,,,3.45,39.89,0.35,,,,0.06,7.69,13,27,4.90,-2.79
AJ Barner,2572513,TE,SEA,IND,,,,3.12,0.04,3.33,35.28,0.33,,,,0.04,7.65,14,28,4.20,-3.45
Ben Sinnott,2572585,TE,WAS,@NYG,,,,,,2.01,19.43,0.18,,,,0.02,3.99,35,29,4.10,0.11
Darnell Washington,2570257,TE,PIT,MIA,,,,,,2.35,24.46,0.16,,,,0.02,4.54,29,30,4.00,-0.54
Cole Kmet,2563704,TE,CHI,CLE,,,,,,2.07,21.33,0.17,,,,0.09,4.01,33,31,3.80,-0.21
Josh Oliver,2562693,TE,MIN,@DAL,,,,,,0.86,8.74,0.1,,,,0.01,1.88,58,32,3.80,1.92
Cade Stover,2572105,TE,HOU,ARI,,,,2.23,0.02,0.68,6.36,0.05,,,,0.01,1.60,61,33,3.70,2.1
Charlie Woerner,2565129,TE,ATL,@TB,,,,,,0.68,6.53,0.05,,,,0.01,1.27,66,34,3.70,2.43
Luke Schoonmaker,2569690,TE,DAL,MIN,,,,,,0.52,4.68,0.03,,,,0.01,0.89,72,35,3.40,2.51
Tyler Warren,2574204,TE,IND,@SEA,,,,1.36,0.01,4.12,46.08,0.31,,,,0.12,8.48,9,36,3.40,-5.08
John FitzPatrick,2567241,TE,GB,@DEN,,,,,,0.77,7,0.06,,,,0.01,1.43,62,37,3.30,1.87
Davis Allen,2570017,TE,LAR,DET,,,,,,0.95,9.45,0.11,,,,0.01,2.06,54,38,3.10,1.04
Tanner Hudson,2561215,TE,CIN,BAL,,,,,,1.12,10.33,0.1,,,,0.01,2.17,51,39,3.10,0.93
Brenton Strange,2569912,TE,JAX,NYJ,,,,,,3.97,42.67,0.24,,,,0.05,7.59,16,40,3.10,-4.49
Quintin Morris,2566641,TE,JAX,NYJ,,,,,,,,,,,,,0.00,167,41,3.00,3.0
Eric Saubert,2558023,TE,SEA,IND,,,,,,0.14,1.41,0.01,,,,,0.27,87,42,2.90,2.63
Mark Andrews,2560957,TE,BAL,@CIN,,,,2.04,0.02,3.48,43.12,0.53,,,,0.07,9.42,6,43,2.80,-6.62
Jake Ferguson,2567496,TE,DAL,MIN,,,,,,4.5,36.61,0.34,,,,0.07,7.81,12,44,2.60,-5.21
John Bates,2566580,TE,WAS,@NYG,,,,,,1.79,18.16,0.14,,,,0.02,3.51,40,45,2.40,-1.11
Hunter Henry,2555341,TE,NE,BUF,,,,,,3.4,40.33,0.34,,,,0.07,7.63,15,46,2.30,-5.33
Jeremy Ruckert,2568042,TE,NYJ,@JAX,,,,,,2.83,25.24,0.19,,,,0.03,5.02,26,47,2.30,-2.72
Tommy Tremble,2565914,TE,CAR,@NO,,,,,,1.18,11.85,0.09,,,,0.02,2.28,50,48,2.30,0.02
Drew Sample,2562720,TE,CIN,BAL,,,,,,0.7,5.3,0.06,,,,0.01,1.22,68,49,2.20,0.98
Brevyn Spann-Ford,2573064,TE,DAL,MIN,,,,,,0.25,2.41,0.02,,,,,0.49,78,50,2.10,1.61
Charlie Kolar,2567280,TE,BAL,@CIN,,,,0.15,,1.13,14.66,0.14,,,,0.02,2.85,44,51,1.80,-1.05
Evan Engram,2557858,TE,DEN,GB,,,,,,3.61,28.16,0.19,,,,0.05,5.66,24,52,1.70,-3.96
Mike Gesicki,2560994,TE,CIN,BAL,,,,,,3.68,37.38,0.26,,,,0.05,7.04,20,53,1.60,-5.44
Brenden Bates,2572953,TE,CLE,@CHI,,,,,,,,,,,,,0.00,91,54,1.50,1.5
