PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Ashton Jeanty,2574298,RB,LV,@HOU,,,,45.28,0.39,3.84,21.91,0.23,,,,0.14,12.08,16,1,31.30,19.22
Chase Brown,2569642,RB,CIN,@MIA,,,,54.76,0.13,4.04,22.08,0.28,,,,0.17,11.82,20,2,30.90,19.08
Christian McCaffrey,2557997,RB,SF,@IND,,,,54.45,0.79,4.88,43.04,0.36,,,,0.24,18.61,4,3,29.60,10.99
Jaylen Warren,2568493,RB,PIT,@DET,,,,49.67,0.33,2.04,17.22,0.12,,,,0.13,10.15,26,4,28.10,17.95
Bijan Robinson,2569558,RB,ATL,@ARI,,,,107.87,0.53,4.46,36.45,0.28,,,,0.22,21.08,3,5,26.30,5.22
James Cook,2567328,RB,BUF,@CLE,,,,94.13,0.76,2.18,18.35,0.17,,,,0.26,17.40,5,6,25.90,8.5
Kenneth Walker III,2568282,RB,SEA,LAR,,,,50.4,0.33,1.73,12.41,0.09,,,,0.18,9.31,28,7,25.40,16.09
Derrick Henry,2556075,RB,BAL,NE,,,,77.63,0.91,0.99,8.78,0.08,,,,0.18,14.72,9,8,22.80,8.08
Kenneth Gainwell,2566397,RB,PIT,@DET,,,,35.89,0.44,3.67,25.71,0.24,,,,0.19,11.70,21,9,21.30,9.6
Saquon Barkley,2560968,RB,PHI,@WAS,,,,87.81,0.44,2.81,20.14,0.19,,,,0.2,15.58,8,10,21.20,5.62
RJ Harvey,2574090,RB,DEN,JAX,,,,52.42,0.66,2.64,17.19,0.21,,,,0.2,13.10,12,11,20.10,7.0
Tyjae Spears,2569795,RB,TEN,KC,,,,26.39,0.19,2.44,14.73,0.09,,,,0.15,6.71,46,12,19.00,12.29
Jahmyr Gibbs,2569747,RB,DET,PIT,,,,83.65,0.8,5.51,39.77,0.36,,,,0.25,21.56,1,13,16.80,-4.76
Rhamondre Stevenson,2566343,RB,NE,@BAL,,,,25.61,0.28,2.02,15.44,0.08,,,,0.13,7.02,44,14,16.80,9.78
De'Von Achane,2570062,RB,MIA,CIN,,,,73.81,0.36,4.67,33.62,0.37,,,,0.19,17.08,6,15,16.50,-0.58
Omarion Hampton,2574514,RB,LAC,@DAL,,,,65.96,0.49,1.77,13.5,0.12,,,,0.16,12.17,15,16,16.00,3.83
Zach Charbonnet,2570335,RB,SEA,LAR,,,,30.31,0.4,1.07,7.92,0.06,,,,0.1,6.92,45,17,15.40,8.48
Jonathan Taylor,2564148,RB,IND,SF,,,,121.37,1.1,1.98,13.51,0.12,,,,0.22,21.36,2,18,15.40,-5.96
Travis Etienne,2566157,RB,JAX,@DEN,,,,57.94,0.5,2.41,17.8,0.16,,,,0.2,12.34,14,19,14.60,2.26
Chris Rodriguez Jr.,2570386,RB,WAS,PHI,,,,37.45,0.46,0.58,5.44,0.05,,,,0.1,7.44,39,20,13.40,5.96
Blake Corum,2572189,RB,LAR,@SEA,,,,39.82,0.35,1.09,7.99,0.08,,,,0.15,7.61,36,21,12.60,4.99
Kyle Monangai,2574015,RB,CHI,GB,,,,40.27,0.4,1.12,8.44,0.07,,,,0.14,7.97,34,22,11.80,3.83
Jaylen Wright,2572261,RB,MIA,CIN,,,,23.16,0.12,0.94,8.7,0.09,,,,0.13,4.66,57,23,11.80,7.14
Samaje Perine,2558138,RB,CIN,@MIA,,,,43.84,0.21,1.59,11.17,0.09,,0.01,,0.37,7.42,40,24,11.10,3.68
Isiah Pacheco,2567808,RB,KC,@TEN,,,,44.68,0.25,1.06,7.01,0.07,,,,0.09,7.44,38,25,10.50,3.06
Aaron Jones,2558116,RB,MIN,@NYG,,,,63.03,0.09,3.18,22.19,0.22,,,,0.21,11.55,22,26,10.30,-1.25
Kyren Williams,2567862,RB,LAR,@SEA,,,,55.26,0.53,2.21,13.49,0.18,,,,0.15,11.94,17,27,10.00,-1.94
Tank Bigsby,2569882,RB,PHI,@WAS,,,,15.5,0.09,0.14,1.29,0.01,,,,0.05,2.25,69,28,9.70,7.45
Jawhar Jordan,2572099,RB,HOU,LV,,,,38.35,0.24,1.33,11.81,0.08,,,,,7.60,37,29,9.50,1.9
Tony Pollard,2562699,RB,TEN,KC,,,,53.09,0.26,2,11.07,0.06,,,,0.1,9.14,30,30,9.20,0.06
Emanuel Wilson,2570912,RB,GB,@CHI,,,,24.73,0.21,0.73,5.5,0.05,,,,0.08,4.79,56,31,9.20,4.41
Tyrone Tracy Jr.,2572351,RB,NYG,MIN,,,,56.19,0.26,2.4,17.85,0.14,,,,0.15,10.70,24,32,8.80,-1.9
Jacory Croskey-Merritt,2574608,RB,WAS,PHI,,,,33.03,0.2,0.76,6.83,0.06,,,,0.1,5.73,50,33,8.50,2.77
Isaiah Davis,2572360,RB,NYJ,@NO,,,,22.69,0.16,1.13,8.25,0.07,,,,0.06,4.92,54,34,8.00,3.08
D'Andre Swift,2563965,RB,CHI,GB,,,,50.38,0.43,2.2,13.91,0.1,,,,0.12,10.47,25,35,8.00,-2.47
Tyler Allgeier,2567232,RB,ATL,@ARI,,,,35.69,0.51,0.58,4.62,0.04,,,,0.11,7.40,41,36,7.80,0.4
Ty Johnson,2562293,RB,BUF,@CLE,,,,18.03,0.14,2,20.49,0.18,,,,0.08,6.61,47,37,7.60,0.99
Quinshon Judkins,2574053,RB,CLE,BUF,,,,70.43,0.59,1.67,13.61,0.1,,,,0.21,12.96,13,38,7.60,-5.36
Trayveon Williams,2562600,RB,CLE,BUF,,,,20.11,0.2,1.39,10.98,0.1,,,,0.07,5.46,52,39,7.50,2.04
Breece Hall,2568030,RB,NYJ,@NO,,,,63.75,0.25,2.44,18.63,0.14,,,,0.18,11.44,23,40,7.30,-4.14
Bucky Irving,2572546,RB,TB,@CAR,,,,77.57,0.31,2.9,24.97,0.22,,,,0.19,14.50,10,41,7.10,-7.4
Rachaad White,2568315,RB,TB,@CAR,,,,13.75,0.1,1.66,11.21,0.11,,,,0.08,4.43,59,42,7.00,2.57
Michael Carter,2566382,RB,ARI,ATL,,,,53.13,0.2,2.82,18.51,0.11,,0.02,,1.15,8.25,33,43,6.50,-1.75
Rico Dowdle,2565295,RB,CAR,TB,,,,57.86,0.38,2.69,20.41,0.16,,,,0.27,11.87,19,44,6.30,-5.57
Sean Tucker,2571629,RB,TB,@CAR,,,,19.56,0.25,0.34,2.82,0.03,0.13,,,0.11,4.65,58,45,6.30,1.65
Javonte Williams,2566049,RB,DAL,LAC,,,,73.74,0.63,2.24,10.86,0.12,,,,0.22,13.64,11,46,5.30,-8.34
Audric Estimé,2571994,RB,NO,NYJ,,,,40.73,0.46,1.97,16.01,0.11,,,,0.16,9.76,27,47,5.10,-4.66
Raheim Sanders,2574529,RB,CLE,BUF,,,,4.64,0.07,0.04,0.42,,,,,0.01,0.93,77,48,5.10,4.17
Devin Singletary,2562734,RB,NYG,MIN,,,,24.9,0.24,1.02,6.35,0.05,,,,0.09,5.20,53,49,5.10,-0.1
Nick Chubb,2561021,RB,HOU,LV,,,,52.28,0.27,1.18,8.78,0.07,,,,0.17,8.40,32,50,4.70,-3.7
Ray Davis,2571862,RB,BUF,@CLE,,,,8.39,0.08,0.19,1.67,0.02,,,,0.04,1.62,74,51,4.40,2.78
