PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Chase Young,2565294,DL,NO,@TEN,3,1,1.5,1,,1,1,,1,,,,,,2,,33,1,20.20
Jer'Zhan Newton,2572579,DL,WAS,DAL,3,6,3,2,,,,,,,,,,,5,,,2,19.60
Aidan Hutchinson,2567547,DL,DET,@MIN,4,2,2,2,,,,,,,,,,,3,,,3,15.70
DeMarcus Lawrence,2543490,DL,SEA,@CAR,3,3,1,1,,1,1,,,,,,,,1,,,4,14.80
Jeffery Simmons,2562733,DL,TEN,NO,4,3,1,,,1,,,,,,,,,1,,,5,13.80
Cameron Jordan,2495184,DL,NO,@TEN,2,3,1,1,,1,,,,,,,,,2,,,6,12.80
Austin Booker,2571904,DL,CHI,@SF,1,2,1,1,,,,,,,,,,2,1,,,7,11.70
Myles Murphy,2569663,DL,CIN,ARI,4,2,1,1,,,,,,,,,,,1,,,8,11.20
Derek Barnett,2557984,DL,HOU,@LAC,2,,2,2,,,,,,,,,,,2,,,9,11.00
Jalen Carter,2570203,DL,PHI,@BUF,1,,1,1,,,,,,,,,1,1,1,,,10,11.00
Al-Quadin Muhammad,2558131,DL,DET,@MIN,2,,2,2,,,,,,,,,,,2,,,11,11.00
Nic Scourton,2573999,DL,CAR,SEA,1,3,1,1,,1,,,,,,,,,,,,12,10.30
Alex Wright,2567484,DL,CLE,PIT,2,2,1,2,,,,,,,,,,,2,,,13,10.20
Laiatu Latu,2572123,DL,IND,JAX,2,,1,1,,,,,,,,,,1,2,,,14,10.00
Abdul Carter,2574417,DL,NYG,@LV,2,1,0.5,2,,,,,,,,,,,4,,,15,9.60
Tonka Hemingway,2574294,DL,LV,NYG,2,,1,1,,,,,,,,,,1,1,,,16,9.50
Kingsley Enagbare,2567589,DL,GB,BAL,3,2,,2,,,,,,,,,,,1,,,17,9.20
Logan Hall,2568303,DL,TB,@MIA,3,,1,1,,,,,,,,,,,2,,,18,9.00
Payton Page,2574446,DL,NYJ,NE,5,,,1,,,,,,,,,,,,,,19,9.00
Jack Sawyer,2574500,DL,PIT,@CLE,1,1,,,1,,,,,,,,,1,,27,,20,9.00
Ricky Barber,2574605,DL,WAS,DAL,2,3,1,1,,,,,,,,,,,1,,,21,8.80
Mason Graham,2574046,DL,CLE,PIT,4,2,,1,,,,,,,,,,,,,,22,8.70
Danielle Hunter,2552603,DL,HOU,@LAC,2,2,1,1,,,,,,,,,,,2,,,23,8.70
Javon Kinlaw,2565117,DL,WAS,DAL,5,2,,,,,,,,,,,,,,,,24,8.70
Denico Autry,2550646,DL,HOU,@LAC,1,,1,1,,1,,,,,,,,,,,,25,8.50
Travis Jones,2567277,DL,BAL,@GB,1,3,1.5,1,,,,,,,,,,,1,,,26,8.30
Cedric Johnson,2571931,DL,CIN,ARI,2,2,1,1,,,,,,,,,,,1,,,27,8.20
Darius Alexander,2574412,DL,NYG,@LV,2,1,1,1,,,,,,,,,,,2,,,28,8.10
Will Anderson Jr.,2569834,DL,HOU,@LAC,2,1,0.5,2,,,,,,,,,,,1,,,29,8.10
Lukas Van Ness,2569792,DL,GB,BAL,4,2,,,,,,,,,,,,,1,,,30,7.70
Adetomiwa Adebawore,2569843,DL,IND,JAX,2,1,1,1,,,,,,,,,,,1,,,31,7.60
Calais Campbell,744,DL,ARI,@CIN,2,1,1,1,,,,,,,,,,,1,,,32,7.60
Chris Jones,2556369,DL,KC,DEN,1,1,1,1,,,,,,,,,,,4,,,33,7.60
Tedarrell Slaton,2566094,DL,CIN,ARI,2,1,1,1,,,,,,,,,,,1,,,34,7.60
Jonah Williams,2564403,DL,NO,@TEN,2,1,1,1,,,,,,,,,,,1,,,35,7.60
Cameron Heyward,2508109,DL,PIT,@CLE,3,2,,1,,,,,,,,,,,,,,36,7.20
Moro Ojomo,2570209,DL,PHI,@BUF,1,2,1,1,,,,,,,,,,,2,,,37,7.20
Malcolm Koonce,2566262,DL,LV,NYG,1,1,1,1,,,,,,,,,,,3,,,38,7.10
Jermaine Johnson II,2568033,DL,NYJ,NE,2,,,1,,,,,,,,,,1,,,,39,7.00
Jalen Redmond,2570792,DL,MIN,DET,1,,,1,,,1,,,,,,,1,1,,,40,7.00
Jonathan Allen,2557844,DL,MIN,DET,3,4,,,,,,,,,,,,,,,,41,6.90
Gervon Dexter Sr.,2569621,DL,CHI,@SF,3,4,,,,,,,,,,,,,,,,42,6.90
Derrick Brown,2563629,DL,CAR,SEA,3,3,,,,,,,,,,,,,1,,,43,6.80
Jonathan Bullard,2555335,DL,NO,@TEN,2,1,,2,,,,,,,,,,,,,,44,6.60
Leonard Floyd,2555285,DL,ATL,LAR,1,1,1,1,,,,,,,,,,,2,,,45,6.60
Montez Sweat,2562749,DL,CHI,@SF,4,1,,,,,,,,,,,,,,,,46,6.60
Colby Wooden,2569783,DL,GB,BAL,3,3,,,,,,,,,,,,,,,,47,6.30
