PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
T.J. Edwards,2562648,LB,CHI,@SF,4.59,3.47,0.18,0.59,0.06,0.06,0.12,,,,,,,0.24,0.41,,,11.56,4,1,21.93,10.37
Blake Cashman,2562496,LB,MIN,DET,3.52,2.33,0.27,0.43,0.05,,0.05,,,,,,,0.38,0.54,,,9.31,32,2,19.60,10.29
Nick Bolton,2566175,LB,KC,DEN,4.09,1.93,0.14,0.55,0.06,0.06,0.06,,,,,,,0.28,0.39,0.39,,9.79,22,3,18.60,8.81
Bobby Okereke,2562416,LB,NYG,@LV,4.75,2.37,0.11,0.32,,0.16,0.11,,,,,,,0.22,0.22,,,10.58,14,4,17.77,7.19
Germaine Pratt,2562702,LB,IND,JAX,3.61,3.03,0.06,0.29,0.12,0.12,0.06,,,,,,,0.35,0.17,0.76,,9.67,26,5,17.20,7.53
Tatum Bethune,2572489,LB,SF,CHI,3.75,3.53,0.07,0.15,0.07,0.07,0.07,,,,,,,0.22,,0.44,,9.23,33,6,16.90,7.67
Cedric Gray,2572063,LB,TEN,NO,4.51,3.52,0.16,0.6,,0.05,0.05,,,,,,,0.11,0.27,,,10.73,11,7,16.80,6.07
Jalyx Hunt,2572378,LB,PHI,@BUF,1.31,0.84,0.14,0.19,,0.09,0.09,,,,,,,0.19,0.38,,,4.10,109,8,16.30,12.2
Jared Verse,2572213,LB,LAR,@ATL,2.27,1.94,0.52,0.65,,0.13,0.13,,,,,,,0.19,1.1,,,8.19,48,9,15.30,7.11
Bradley Chubb,2561020,LB,MIA,TB,2.22,0.86,0.46,0.37,,0.12,0.12,,,,,,,0.06,0.98,,,6.50,77,10,15.10,8.6
Quay Walker,2567631,LB,GB,BAL,,,,,,,,,,,,,,,,,,0.00,383,11,15.10,15.1
Bobby Wagner,2532966,LB,WAS,DAL,4.12,3.06,0.12,0.53,,0.06,0.06,,,,,,,,,,,9.32,31,12,15.00,5.68
Devin Bush,2562243,LB,CLE,PIT,3.88,3.11,0.12,0.35,,,,,,,,,,0.12,0.35,,,8.93,37,13,14.90,5.97
Jadeveon Clowney,2543456,LB,DAL,@WAS,1.78,1.44,0.38,0.68,,0.08,,,,,,,,0.34,0.76,,,6.82,71,14,14.10,7.28
Cody Simon,2574488,LB,ARI,@CIN,3.09,3.71,,0.31,,0.21,0.1,,,,,,,,0.1,,,8.21,47,15,14.10,5.89
Alex Highsmith,2564982,LB,PIT,@CLE,2.41,1.75,0.66,0.73,,0.15,,,,,,,,0.29,1.61,,,9.14,34,16,13.50,4.36
Jaelan Phillips,2566289,LB,PHI,@BUF,3.33,1.33,0.33,0.42,,,,,,,,,,0.17,0.75,,,7.88,55,17,13.30,5.42
Henry To'oTo'o,2569831,LB,HOU,@LAC,3.09,2.4,0.05,0.32,,0.05,0.05,,,,,,,0.11,0.11,,,7.21,63,18,13.20,5.99
Josh Hines-Allen,2562619,LB,JAX,@IND,2.09,1.33,0.51,0.7,0.06,0.13,0.06,,,,,,,0.13,1.14,0.76,,7.65,61,19,12.80,5.15
Travon Walker,2567778,LB,JAX,@IND,,,,,,,,,,,,,,,,,,0.00,384,20,12.50,12.5
Divine Deablo,2566253,LB,ATL,LAR,3.71,2.29,0.07,0.29,,,0.07,,,,,,,0.14,0.29,,,8.08,52,21,12.30,4.22
Foye Oluokun,2561132,LB,JAX,@IND,4.35,3.35,0.12,0.53,0.06,0.06,0.12,,,,,,,0.35,0.41,1.12,,11.23,8,22,12.30,1.07
Andrew Van Ginkel,2562768,LB,MIN,DET,2.8,1.15,0.49,0.66,0.05,0.05,,,,,,,,0.33,0.99,1.32,,8.57,43,23,12.30,3.73
Christian Rozeboom,2564394,LB,CAR,SEA,4.06,2.94,0.05,0.21,0.05,,,,,,,,,0.21,0.05,0.43,,9.01,35,24,12.10,3.09
Dee Winters,2570296,LB,SF,CHI,3.45,2.63,,0.08,0.08,,,,,,,,,0.49,0.08,1.15,,8.46,46,25,12.00,3.54
Tremaine Edmunds,2560713,LB,CHI,@SF,3.38,2.85,0.06,0.3,0.06,0.06,,,,,,,,0.42,0.18,,,8.91,38,26,11.70,2.79
Drue Tranquill,2562765,LB,KC,DEN,2.66,1.82,0.19,0.23,,0.05,0.09,,,,,,,0.09,0.37,,,6.48,78,27,11.70,5.22
Azeez Al-Shaair,2562462,LB,HOU,@LAC,3.22,2.3,0.17,0.46,0.06,0.06,0.06,,,,,,,0.23,0.46,,,8.53,45,28,11.40,2.87
Dallas Turner,2572282,LB,MIN,DET,2.13,1.1,0.34,0.21,,0.07,,,,,,,,0.07,0.96,,,5.75,86,29,11.30,5.55
Yaya Diaby,2570344,LB,TB,@MIA,2.41,0.94,0.47,0.76,,0.06,0.06,,,,,,,,1.06,,,7.06,66,30,10.90,3.84
Matt Milano,2557969,LB,BUF,PHI,3.14,1.29,0.14,0.29,0.14,,0.14,,,,,,,0.43,0.14,,,7.97,54,31,10.80,2.83
Demetrius Flannigan-Fowles,2563090,LB,NYG,@LV,1.02,0.67,0.03,0.13,,,,,,,,,,0.05,0.08,,,2.35,140,32,10.70,8.35
Zack Baun,2564664,LB,PHI,@BUF,4.74,2.94,0.15,0.48,0.06,0.12,0.06,,,,,,,0.18,0.36,,,11.21,9,33,10.50,-0.71
Jahlani Tavai,2562755,LB,NE,@NYJ,1.1,0.47,,0.08,,0.08,,,,,,,,0.16,,,,2.73,133,34,10.20,7.47
Tyrel Dodson,2562560,LB,MIA,TB,3.92,3.59,0.06,0.28,0.11,0.06,,,,,,,,0.44,0.17,0.28,,10.36,16,35,10.10,-0.26
Edgerrin Cooper,2572030,LB,GB,BAL,4.37,2.32,0.29,0.96,0.06,0.13,0.13,0.06,,,,,,0.39,0.64,2.32,,12.37,1,36,9.60,-2.77
Isaiah McDuffie,2566082,LB,GB,BAL,2.31,1.86,0.06,0.17,,0.06,,,,,,,,0.11,0.23,,,5.56,89,37,9.60,4.04
