PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Davante Adams,2543495,WR,LAR,ARI,,,,,,,,,,,,,0.00,140,1,0.00,0.0
Jordan Addison,2570074,WR,MIN,GB,,,,0.71,0.01,2.92,37.75,0.32,,,,0.05,7.19,43,2,0.00,-7.19
Ife Adeyi,2574628,WR,FA,Bye,,,,,,,,,,,,,,141,3,0.00,
Nelson Agholor,2552600,WR,FA,Bye,,,,,,,,,,,,,,142,4,0.00,
Jamal Agnew,2558821,WR,FA,Bye,,,,,,,,,,,,,,143,5,0.00,
Brandon Aiyuk,2565093,WR,FA,Bye,,,,,,,,,,,,,,144,6,0.00,
Ajou Ajou,2574182,WR,FA,Bye,,,,,,,,,,,,,,145,7,0.00,
Kelly Akharaiyi,2573955,WR,FA,Bye,,,,,,,,,,,,,,146,8,0.00,
Maurice Alexander,2569528,WR,CHI,DET,,,,,,,,,,,,,0.00,147,9,0.00,0.0
Kazmeir Allen,2571641,WR,FA,Bye,,,,,,,,,,,,,,148,10,0.00,
Keenan Allen,2540154,WR,LAC,@DEN,,,,,,2.49,31.17,0.23,,,,0.05,5.64,64,11,0.00,-5.64
Andrew Armstrong,2574316,WR,FA,Bye,,,,,,,,,,,,,,149,12,0.00,
Tutu Atwell,2566196,WR,LAR,ARI,,,,0.13,,0.37,5.86,0.04,,,,0.01,1.00,121,13,0.00,-1.0
Calvin Austin III,2568132,WR,PIT,BAL,,,,0.44,,1.82,24.68,0.19,,,,0.03,4.50,81,14,0.00,-4.5
Kevin Austin Jr.,2568954,WR,NO,@ATL,,,,,,3.39,44.6,0.32,,,,,8.08,35,15,0.00,-8.08
Elic Ayomanor,2574142,WR,TEN,@JAX,,,,0.21,,2.69,36.38,0.29,,,,0.04,6.66,47,16,0.00,-6.66
Andre Baccellia,2564250,WR,ARI,@LAR,,,,,,,,,,,,,0.00,150,17,0.00,0.0
Alex Bachman,2563301,WR,LV,KC,,,,0.01,,0.12,1.18,0.01,,,,,0.24,136,18,0.00,-0.24
Elijhah Badger,2574238,WR,FA,Bye,,,,,,,,,,,,,,151,19,0.00,
Javon Baker,2572285,WR,SF,SEA,,,,,,,,,,,,,0.00,152,20,0.00,0.0
Kawaan Baker,2566349,WR,FA,Bye,,,,,,,,,,,,,,153,21,0.00,
Monaray Baldwin,2574318,WR,FA,Bye,,,,,,,,,,,,,,154,22,0.00,
Michael Bandy,2567175,WR,DEN,LAC,,,,0.12,,0.59,6.6,0.06,,,,0.01,1.31,118,23,0.00,-1.31
Jahmal Banks,2573923,WR,FA,Bye,,,,,,,,,,,,,,155,24,0.00,
Rashod Bateman,2565836,WR,BAL,@PIT,,,,,,,,,,,,,0.00,156,25,0.00,0.0
Jack Bech,2574285,WR,LV,KC,,,,,,3.32,35.03,0.18,,,,0.03,6.18,51,26,0.00,-6.18
Odell Beckham Jr.,2543496,WR,FA,Bye,,,,,,,,,,,,,,157,27,0.00,
David Bell,2567460,WR,FA,Bye,,,,,,,,,,,,,,158,28,0.00,
Ronnie Bell,2570290,WR,NO,@ATL,,,,,,1.29,15.84,0.11,,,,,2.89,105,29,0.00,-2.89
Junior Bergen,2574535,WR,SF,SEA,,,,,,,,,,,,,0.00,159,30,0.00,0.0
Braxton Berrios,2560975,WR,HOU,IND,,,,,,,,,,,,,0.00,160,31,0.00,0.0
Tarik Black,2565594,WR,FA,Bye,,,,,,,,,,,,,,161,32,0.00,
Chris Blair,2565588,WR,ATL,NO,,,,,,,,,,,,,0.00,162,33,0.00,0.0
DeMeer Blankumsee,2574364,WR,FA,Bye,,,,,,,,,,,,,,163,34,0.00,
Jordan Bly,2574415,WR,FA,Bye,,,,,,,,,,,,,,164,35,0.00,
Jake Bobo,2571378,WR,SEA,@SF,,,,,,0.45,5.14,0.04,,,,,0.98,123,36,0.00,-0.98
Silas Bolden,2574339,WR,FA,Bye,,,,,,,,,,,,,,165,37,0.00,
Isaiah Bond,2574663,WR,CLE,@CIN,,,,0.66,,1.47,27.44,0.15,,,,0.02,4.41,85,38,0.00,-4.41
Kendrick Bourne,2558914,WR,SF,SEA,,,,,,0.82,12.21,0.06,,,,0.01,1.97,113,39,0.00,-1.97
Kayshon Boutte,2570092,WR,NE,MIA,,,,0.27,,2.43,36.55,0.29,,,,0.03,6.58,48,40,0.00,-6.58
Tyler Boyd,2555466,WR,FA,Bye,,,,,,,,,,,,,,166,41,0.00,
Miles Boykin,2562631,WR,FA,Bye,,,,,,,,,,,,,,167,42,0.00,
Chandler Brayboy,2574208,WR,JAX,TEN,,,,,,,,,,,,,0.00,168,43,0.00,0.0
Tyrone Broden,2574555,WR,SEA,@SF,,,,,,,,,,,,,0.00,169,44,0.00,0.0
Ja'Corey Brooks,2574606,WR,WAS,@PHI,,,,,,,,,,,,,0.00,170,45,0.00,0.0
Jalen Brooks,2569696,WR,ARI,@LAR,,,,,,1.47,20.16,0.13,,,,0.02,3.49,97,46,0.00,-3.49
A.J. Brown,2562238,WR,PHI,WAS,,,,0.15,,,,,,,,,0.02,139,47,0.00,-0.02
Dyami Brown,2566586,WR,JAX,TEN,,,,0.27,,0.2,2.58,0.02,,,,,0.51,130,48,0.00,-0.51
Marquise Brown,2562379,WR,KC,@LV,,,,0.11,,3.29,36.44,0.28,,,,0.04,6.90,44,49,0.00,-6.9
Noah Brown,2558091,WR,WAS,@PHI,,,,,,,,,,,,,0.00,171,50,0.00,0.0
Sam Brown Jr.,2574623,WR,FA,Bye,,,,,,,,,,,,,,172,51,0.00,
Jason Brownlee,2570608,WR,KC,@LV,,,,,,,,,,,,,0.00,173,52,0.00,0.0
Pat Bryant,2574086,WR,DEN,LAC,,,,,,,,,,,,,0.00,174,53,0.00,0.0
Luther Burden III,2574004,WR,CHI,DET,,,,1.38,0.01,4.03,56.82,0.24,,,,0.09,9.16,23,54,0.00,-9.16
Cole Burgess,2572983,WR,FA,Bye,,,,,,,,,,,,,,175,55,0.00,
Treylon Burks,2567643,WR,WAS,@PHI,,,,0.48,,2.19,32.84,0.24,,,,,5.87,61,56,0.00,-5.87
Jermaine Burton,2571922,WR,FA,Bye,,,,,,,,,,,,,,176,57,0.00,
Deon Cain,2560987,WR,FA,Bye,,,,,,,,,,,,,,177,58,0.00,
Marquez Callaway,2565310,WR,FA,Bye,,,,,,,,,,,,,,178,59,0.00,
Dalen Cambre,2574416,WR,NYG,DAL,,,,,,,,,,,,,0.00,179,60,0.00,0.0
Dalevon Campbell,2574508,WR,LAC,@DEN,,,,,,,,,,,,,0.00,180,61,0.00,0.0
Parris Campbell,2562495,WR,DAL,@NYG,,,,,,,,,,,,,0.00,181,62,0.00,0.0
Cam Camper,2574209,WR,FA,Bye,,,,,,,,,,,,,,182,63,0.00,
DeAndre Carter,2553502,WR,CLE,@CIN,,,,,,,,,,,,,0.00,183,64,0.00,0.0
Joshua Cephus,2573193,WR,JAX,TEN,,,,,,,,,,,,,0.00,184,65,0.00,0.0
Quintez Cephus,2563926,WR,HOU,IND,,,,,,,,,,,,,0.00,185,66,0.00,0.0
DJ Chark,2561018,WR,FA,Bye,,,,,,,,,,,,,,186,67,0.00,
Irvin Charles,2568021,WR,NYJ,@BUF,,,,,,,,,,,,,0.00,187,68,0.00,0.0
Ja'Marr Chase,2565941,WR,CIN,CLE,,,,1.72,0.01,6.38,83.1,0.68,,,,0.06,15.69,3,69,0.00,-15.69
Dan Chisena,2564514,WR,CAR,@TB,,,,,,,,,,,,,0.00,188,70,0.00,0.0
Efton Chism III,2574369,WR,NE,MIA,,,,,,,,,,,,,0.00,189,71,0.00,0.0
Robbie Chosen,2556462,WR,WAS,@PHI,,,,,,,,,,,,,0.00,190,72,0.00,0.0
Chase Claypool,2564970,WR,FA,Bye,,,,,,,,,,,,,,191,73,0.00,
Jalen Coker,2572920,WR,CAR,@TB,,,,,,3.58,49.27,0.28,,,,0.04,8.32,31,74,0.00,-8.32
Keon Coleman,2571859,WR,BUF,NYJ,,,,0.13,,1.27,18.99,0.16,,,,0.03,3.45,98,75,0.00,-3.45
Beaux Collins,2574418,WR,NYG,DAL,,,,,,,,,,,,,0.00,192,76,0.00,0.0
Nico Collins,2566127,WR,HOU,IND,,,,,,,,,,,,,0.00,193,77,0.00,0.0
Brandin Cooks,2543498,WR,BUF,NYJ,,,,,,,,,,,,,0.00,194,78,0.00,0.0
Elijah Cooks,2571029,WR,NO,@ATL,,,,,,,,,,,,,0.00,195,79,0.00,0.0
Amari Cooper,2552487,WR,FA,Bye,,,,,,,,,,,,,,196,80,0.00,
Darius Cooper,2574456,WR,PHI,WAS,,,,0.43,,3.96,45.18,0.34,,,,,8.58,27,81,0.00,-8.58
Malachi Corley,2572357,WR,CLE,@CIN,,,,9.35,0.04,2.04,24.85,0.17,,,,0.03,5.64,65,82,0.00,-5.64
Chase Cota,2570948,WR,FA,Bye,,,,,,,,,,,,,,197,83,0.00,
Britain Covey,2568066,WR,PHI,WAS,,,,0.29,,2.6,28.24,0.2,,,,,5.35,68,84,0.00,-5.35
Jacob Cowing,2572492,WR,SF,SEA,,,,,,,,,,,,,0.00,198,85,0.00,0.0
