PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Kamari Lassiter,2572102,DB,HOU,62,29,,7,4,,,,,,,,,17,1,,,1,177.90
Kam Curl,2565270,DB,LAR,79,43,2,2,2,1,,,,,,,,5,2,,,2,175.30
Nick Cross,2567700,DB,IND,72,48,2.5,5,1,1,,,,,,,,5,6,,,3,171.80
Cooper DeJean,2572375,DB,PHI,64,29,,4,2,1,,,,,,,,16,1,32,,4,171.47
Jordan Battle,2569648,DB,CIN,62,63,,2,4,2,,,,,,,,6,,6,,5,170.00
Talanoa Hufanga,2566529,DB,DEN,67,39,2,6,,1,,,,,,,,11,3,,,6,169.40
Tykee Smith,2572555,DB,TB,61,39,2,6,1,,2,,,,,,,13,5,,,7,168.40
Mike Jackson,2562434,DB,CAR,54,14,,4,4,1,,1,,,,,,19,,102,,8,167.80
Chamarri Conner,2569927,DB,KC,75,42,2,4,1,2,,,,,,,,2,5,1,,9,165.73
Tyson Campbell,2566151,DB,CLE,54,33,,2,1,2,,1,,,,,,18,1,34,,10,164.93
Nahshon Wright,2566022,DB,CHI,54,26,,3,5,2,3,1,,,,,,11,1,118,-1,11,164.50
Kevin Byard,2555158,DB,CHI,61,32,,4,7,,,,,,,,,8,,91,,12,164.23
Dane Belton,2567988,DB,NYG,60,60,2,3,1,3,,,,,,,,5,2,8,,13,162.27
Tre'von Moehrig,2566268,DB,CAR,65,38,3,14,1,,,,,,,,,2,7,36,,14,160.50
Kyle Hamilton,2567274,DB,BAL,59,46,1,7,,2,,,,,,,,9,4,,,15,160.10
Xavier Watts,2573921,DB,ATL,59,37,,,5,,1,,,,,,,11,,32,5,16,157.93
Riley Moss,2569723,DB,DEN,57,23,1,3,1,,,,,,,,,19,1,,,17,157.30
Kool-Aid McKinstry,2572321,DB,NO,59,17,,3,3,,,,,,,,,17,,,,18,156.20
Geno Stone,2563584,DB,CIN,65,39,2,4,2,,,1,,,,,,4,4,57,,19,155.80
Alontae Taylor,2567979,DB,NO,59,24,2,7,2,,,,,,,,,11,3,21,,20,154.10
Dee Alford,2567244,DB,ATL,55,12,2,6,3,1,1,,,,,,,13,3,59,2,21,153.73
Marcus Jones,2567943,DB,NE,47,18,2,8,3,,3,1,,,,,,11,2,65,,22,153.47
Marlon Humphrey,2558067,DB,BAL,53,15,1,3,4,2,1,,,,,,,13,3,54,,23,152.80
Nick Emmanwori,2574558,DB,SEA,56,25,2.5,8,1,,,,,,,,1,11,4,,,24,152.00
Xavier McKinney,2564766,DB,GB,54,53,1,,2,1,,,,,,,,10,2,,,25,151.30
Derwin James,2560760,DB,LAC,50,44,2,6,3,1,,,,,,,,7,8,28,,26,150.83
Nate Wiggins,2571847,DB,BAL,57,19,,2,3,,,,,,,,,14,,84,,27,148.20
Budda Baker,2558009,DB,ARI,57,63,0.5,4,1,,1,,,,,,,5,1,,1,28,147.83
Jessie Bates,2560970,DB,ATL,57,41,,1,3,1,,1,,,,,,6,2,54,,29,147.40
Mike Sainristil,2572582,DB,WAS,51,34,,1,4,1,,,,,,,,12,,78,,30,146.50
Keisean Nixon,2562938,DB,GB,58,14,,3,1,,1,,,,,,,17,1,,22,31,146.13
Antoine Winfield Jr.,2565261,DB,TB,53,40,1,4,2,1,1,,,,,,,8,4,5,,32,145.17
Jeremy Chinn,2563632,DB,LV,63,51,1,3,,2,,,,,,,,2,2,,,33,144.60
Minkah Fitzpatrick,2560725,DB,MIA,59,23,1,4,1,1,2,,,,,1,,6,2,7,,34,139.53
Camryn Bynum,2566295,DB,IND,50,31,1,3,4,1,1,,,,,,,8,,22,,35,139.33
Jeremy Reaves,2561394,DB,WAS,57,34,1,5,1,,,,,,,,,7,2,28,,36,138.33
Cole Bishop,2571850,DB,BUF,53,32,2,4,3,,,,,,,,,7,2,16,,37,138.23
Daxton Hill,2567451,DB,CIN,57,31,,2,1,,,,,,,,,11,,,,38,138.10
Jalen Ramsey,2555280,DB,PIT,53,35,3,4,1,,,,,,,,,8,4,2,,39,138.07
Nick Scott,2562905,DB,CAR,64,47,,,1,,1,,,,,,,3,,,,40,136.20
Alohi Gilman,2565042,DB,BAL,50,40,,1,,1,2,1,,,,,,9,1,84,11,41,136.17
Andru Phillips,2572348,DB,NYG,49,17,,8,2,,1,,,,,,,12,,56,,42,135.57
Grant Delpit,2563773,DB,CLE,48,41,3,4,1,2,2,,,,,,,4,7,25,,43,135.43
Ronnie Hickman Jr.,2570867,DB,CLE,51,52,,1,2,,,,,,,,,7,,31,,44,134.73
Evan Williams,2572057,DB,GB,48,52,,4,3,,1,,,,,,,5,,,,45,133.20
Jacob Parrish,2574594,DB,TB,50,26,2,7,2,,1,,,,,,,7,3,3,,46,132.20
Jalen Pitre,2567688,DB,HOU,43,31,,3,4,,,,,,,,,12,,18,,47,132.20
Jaquan Brisker,2567370,DB,CHI,52,41,1,1,1,,,,,,,,,8,3,32,,48,132.17
Jalen Thompson,2563339,DB,ARI,58,36,1,2,,1,,,,,,,,6,,,,49,132.10
Brian Branch,2569729,DB,DET,48,27,2.5,5,,1,1,,,,,,,9,5,,,50,130.20
Isaiah Pola-Mao,2568993,DB,LV,58,34,,3,2,,,,,,,,,4,,,,51,129.20
Kamren Kinchens,2572204,DB,LAR,56,28,,,2,,2,,,,,,,6,2,53,13,52,128.00
Amani Hooker,2562666,DB,TEN,58,23,1,3,,,,,,,,,,8,1,,,53,127.80
Ja'Quan McMillian,2568747,DB,DEN,40,16,4,5,2,2,,1,,,,,,9,4,61,,54,127.63
Jaylinn Hawkins,2563500,DB,NE,45,27,1.5,3,4,1,1,,,,,,,6,5,1,,55,127.23
Malachi Moore,2574444,DB,NYJ,56,45,,3,,1,1,,,,,,,3,,,25,56,127.13
Isaiah Rodgers,2564142,DB,MIN,47,19,,4,1,2,1,1,1,,,,1,4,,87,66,57,125.50
Andrew Wingard,2562606,DB,JAX,45,39,,3,1,,1,,,,,,,9,1,39,,58,124.20
A.J. Terrell,2563527,DB,ATL,49,19,,1,,2,,,,,,,,12,,,,59,123.40
Antonio Johnson,2569879,DB,JAX,37,21,2,2,5,,,1,,,,,,9,1,107,,60,123.17
Jack Jones,2567940,DB,MIA,49,28,,4,1,2,,,,,,,,6,,7,,61,122.03
Calen Bullock,2572081,DB,HOU,44,20,,,4,1,,,,,,,,10,,40,,62,121.83
Rasul Douglas,2558168,DB,MIA,37,25,1,2,2,1,,,,,,,,13,2,43,,63,120.93
C.J. Gardner-Johnson,2562588,DB,CHI,46,20,3,5,2,1,,,,,,,,4,6,60,,64,120.00
Quan Martin,2570377,DB,WAS,52,47,,1,,1,,,,,,,,3,2,,,65,119.70
Paulson Adebo,2566346,DB,NYG,56,17,,1,1,,,,,,,,,8,,,,66,119.20
Jonas Sanker,2574405,DB,NO,46,34,,3,2,,1,,,,,,,6,,29,27,67,118.77
Brandon Stephens,2565851,DB,NYJ,47,26,,4,,1,,,,,,,,9,,,,68,118.10
