PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Myles Garrett,2557965,DL,CLE,43,17,23,33,,3,,,,,,,,1,39,,,1,202.70
Maxx Crosby,2562439,DL,LV,45,28,10,28,1,2,,,,,,,,6,20,19,,2,182.43
Jeffery Simmons,2562733,DL,TEN,39,28,11,17,,3,,,,,1,,,3,21,,,3,161.90
Aidan Hutchinson,2567547,DL,DET,36,18,14.5,14,1,4,1,,,,,,,3,35,58,,4,160.23
Will Anderson Jr.,2569834,DL,HOU,35,19,12,20,,3,2,,1,,,,,3,23,,,5,153.40
Tuli Tuipulotu,2570266,DL,LAC,35,14,13,20,,2,1,,,,,,,3,23,,11,6,144.27
Danielle Hunter,2552603,DL,HOU,28,26,15,15,,3,1,,,,,,,3,22,,,7,140.10
Montez Sweat,2562749,DL,CHI,36,17,10,13,,3,1,,,,,,,5,18,,,8,136.70
Cameron Heyward,2508109,DL,PIT,38,40,3.5,9,,1,,,,,,,,6,9,,,9,124.50
Laiatu Latu,2572123,DL,IND,27,18,8.5,12,3,1,,,,,,,,5,20,9,,10,123.10
Jordan Davis,2568069,DL,PHI,34,38,4.5,9,,,,,,1,,,1,6,6,,,11,121.30
Cameron Jordan,2495184,DL,NO,32,15,10.5,15,,2,1,,,,,,,2,15,,,12,119.00
Jalen Redmond,2570792,DL,MIN,33,29,6,12,,1,2,,,,,,,5,8,,,13,118.90
DeMarcus Lawrence,2543490,DL,SEA,24,29,6,11,,3,3,,2,,,,,1,20,,56,14,117.77
Derrick Brown,2563629,DL,CAR,33,40,5,5,,1,,,,,,,,7,11,,,15,117.50
Carl Granderson,2562273,DL,NO,35,22,6,11,1,,,,,,,,,4,9,,,16,112.20
Chase Young,2565294,DL,NO,22,16,10,11,,2,3,,1,,,,,4,15,,28,17,111.53
Leonard Williams,2552486,DL,SEA,33,29,7,9,,,,,,,,,,1,22,,,18,107.90
Quinnen Williams,2562599,DL,DAL,26,27,2.5,10,1,3,,,,,,,,1,12,,,19,97.70
Kobie Turner,2569954,DL,LAR,24,24,7,9,1,,1,,,,,,,3,14,10,,20,97.23
George Karlaftis,2567796,DL,KC,25,23,6,10,,,1,,,,,,,2,23,,1,21,95.83
Greg Rousseau,2565875,DL,BUF,24,22,7,6,,1,,,,,,,1,2,23,,,22,95.20
Zach Allen,2562219,DL,DEN,14,24,7,4,,,,,,,,,,6,47,,,23,93.90
James Pearce Jr.,2573916,DL,ATL,17,9,10.5,10,,1,1,,,,,,,5,16,,27,24,92.80
Calais Campbell,744,DL,ARI,23,20,6.5,9,,,,,,,,,2,2,16,,,25,92.00
Rashan Gary,2562376,DL,GB,25,20,7.5,7,,1,1,,,,,,,1,20,,,26,92.00
Zach Sieler,2561129,DL,MIA,29,18,5.5,10,,,1,,,,,,1,1,9,,5,27,91.47
Jonathan Allen,2557844,DL,MIN,29,39,3.5,7,,,1,,,,,,,,11,,,28,90.90
Myles Murphy,2569663,DL,CIN,28,24,5.5,6,,,1,,,,,,,3,10,,,29,89.90
Tommy Togiai,2565989,DL,HOU,27,32,1.5,6,,,1,,1,,,,,4,5,,17,30,89.77
Daron Payne,2560834,DL,WAS,20,26,3,7,,1,,,,,1,,1,5,8,,,31,89.10
Jonah Laulu,2572126,DL,LV,24,27,4,8,,,,,,,,,,5,7,,,32,88.20
Byron Murphy II,2572531,DL,SEA,22,40,7,7,,,,,,,,,,,13,,,33,88.00
Abdul Carter,2574417,DL,NYG,25,18,4,7,,2,2,,,,,,,,23,,-3,34,87.20
Joey Bosa,2555249,DL,BUF,17,12,5,9,,5,,,,,,,,2,16,,,35,86.70
Grover Stewart,2558766,DL,IND,23,32,0.5,5,1,1,,,,,,,1,4,7,3,,36,85.80
B.J. Hill,2560740,DL,CIN,29,37,4,5,,,,,,,,,,,9,,,37,85.70
Keeanu Benton,2570260,DL,PIT,25,26,5.5,6,,1,,,,,,,,1,12,,,38,85.10
Joseph Ossai,2565956,DL,CIN,21,22,5,9,,2,,,,,,,1,,12,,,39,84.20
Dre'Mont Jones,2562412,DL,BAL,19,24,7,7,,,2,,,,,,,1,24,,2,40,83.97
Travis Jones,2567277,DL,BAL,20,27,5,9,,1,1,,,,,,,2,9,,,41,83.70
Alex Wright,2567484,DL,CLE,21,16,5.5,12,,1,,,,,,,1,1,9,,,42,83.60
DeForest Buckner,2555275,DL,IND,30,17,4,9,,,,,,,,,,,13,,,43,83.20
Will McDonald IV,2570191,DL,NYJ,19,11,8,10,,,,,,1,,,1,,19,,,44,82.60
Jalen Carter,2570203,DL,PHI,21,12,3,5,,,,,,,,,2,7,12,,,45,81.70
Tyree Wilson,2570050,DL,LV,25,10,4,8,,2,1,,,,1,,,1,6,,,46,81.00
Chris Jones,2556369,DL,KC,15,14,7,12,,,,,,,,,,2,25,,,47,80.40
Mason Graham,2574046,DL,CLE,28,21,0.5,7,,,,,,,,,,4,4,,,48,78.10
A'Shawn Robinson,2555265,DL,CAR,21,44,2.5,3,,,1,,,,,,,3,8,,3,49,78.00
Nic Scourton,2573999,DL,CAR,20,27,5,7,,1,,,,,,,,1,9,,,50,77.20
David Onyemata,2556274,DL,ATL,29,33,1,7,,,,,,,,,,,2,,,51,76.80
Jalon Walker,2573920,DL,ATL,24,12,5.5,5,,2,1,,,,,,,1,9,,,52,76.70
Justin Eboigbe,2572468,DL,LAC,27,12,6,7,,,,,,,,,,,10,,,53,75.20
Al-Quadin Muhammad,2558131,DL,DET,15,10,11,9,,,,,,,,,,,20,,,54,74.00
Nathan Shepherd,2560873,DL,NO,23,24,3,4,,1,,,,,,,1,,13,,,55,73.90
Gervon Dexter Sr.,2569621,DL,CHI,21,23,6,6,,,2,,,,,,,,11,,,56,73.80
Donovan Ezeiruaku,2574073,DL,DAL,20,20,2,9,,1,,,,,1,,,,12,,,57,73.00
Sam Williams,2567514,DL,DAL,23,14,1,7,,1,1,,,,,,2,2,4,,,58,72.90
Austin Booker,2571904,DL,CHI,19,16,4.5,5,,1,,,,,,,,3,12,,,59,71.60
Jer'Zhan Newton,2572579,DL,WAS,21,17,5,4,,1,,,,,,,1,1,9,,,60,71.20
Harrison Phillips,2560840,DL,NYJ,22,38,0.5,5,,1,,,,,,,,1,1,,,61,70.80
Jacob Martin,2561092,DL,WAS,17,22,5.5,3,,1,,,,,,,,1,18,,,62,69.20
Brandon Dorlus,2571802,DL,ATL,15,12,8.5,11,,,,,,,,,,,11,,,63,68.70
Jowon Briggs,2571946,DL,NYJ,19,19,4,8,,1,,,,,,,,,10,,,64,68.40
Osa Odighizuwa,2566016,DL,DAL,16,28,3.5,6,,,,,,,,,,,23,,,65,68.30
James Houston,2567544,DL,DAL,18,17,5.5,6,,1,1,,,,,,,,13,,,66,68.20
Javon Hargrave,2555239,DL,MIN,18,34,3.5,4,,1,1,,,,,,,,6,,,67,67.90
Moro Ojomo,2570209,DL,PHI,17,21,6,6,,,,,,,,,,1,12,,,68,67.60
Jermaine Johnson II,2568033,DL,NYJ,22,21,3,5,,,,,,,,,,2,6,,,69,67.10
Vita Vea,2560909,DL,TB,16,18,4.5,7,,,1,,,,,,,2,13,,,70,66.80
Colby Wooden,2569783,DL,GB,26,24,,6,,,,,,,,,,1,3,,,71,66.40
Chris Rumph II,2566508,DL,NO,24,23,2,3,,1,,,,,,,,1,4,,,72,66.30
Bryan Bresee,2570128,DL,NO,15,22,2.5,5,,1,,,,,,,1,3,8,,,73,66.20
Sam Okuayinonu,2568831,DL,SF,23,16,3,6,,1,,,,,,,,,7,,,74,66.10
Deone Walker,2573975,DL,BUF,17,22,1,8,,,1,,,,,,,4,4,,6,75,65.90
A.J. Epenesa,2563605,DL,BUF,17,15,2.5,2,2,,1,,,,,,,4,9,25,,76,65.83
Mike Green,2573928,DL,BAL,17,24,3.5,7,,,1,,,,,,,,14,,,77,65.40
Bryce Huff,2565510,DL,SF,14,16,4,6,,2,,,,,,,,1,15,,,78,64.60
Levi Drake Rodriguez,2572276,DL,MIN,19,24,2,8,,,,,,,,,1,,5,,,79,64.40
Tedarrell Slaton,2566094,DL,CIN,19,33,3,4,,,,,,,,,,,7,,,80,63.80
Thomas Booker,2567670,DL,LV,16,28,,1,,1,1,,,,,,,5,7,,,81,62.80
Neville Gallimore,2563842,DL,IND,18,20,3.5,4,,,,,,,,,,3,6,,,82,62.50
Jack Sawyer,2574500,DL,PIT,16,18,1,3,2,,,,,,,,,4,6,31,,83,62.33
LaCale London,2565405,DL,ATL,17,13,5,7,,1,,,,,,,,1,4,,,84,61.80
Sebastian Joseph-Day,2561079,DL,TEN,22,19,2,6,,,1,,,,,,,,6,,,85,61.40
Kwity Paye,2565612,DL,IND,15,24,4,6,,,,,,,,,,1,9,,,86,60.90
Shelby Harris,2549926,DL,CLE,15,17,1,7,,,,,,,,,1,4,5,,,87,60.70
Poona Ford,2561195,DL,LAR,19,28,2,4,,,,,,,,,,1,5,,,88,60.30
Teair Tart,2565474,DL,LAC,22,10,,4,,1,1,,,,,,,4,1,,,89,60.00
Javon Kinlaw,2565117,DL,WAS,24,19,,5,,1,,,,,,,,,3,,,90,59.90
D.J. Jones,2558265,DL,DEN,21,18,3,4,,,,,,,,,,1,6,,,91,59.80
Maliek Collins,2555400,DL,CLE,15,10,6.5,7,,,1,,,,,,,,13,,,92,59.50
Malcolm Koonce,2566262,DL,LV,14,16,4.5,6,,1,,,,,,,,,13,,,93,58.60
Sheldon Rankins,2555242,DL,HOU,15,20,3,5,,,1,,1,,,,,,9,,32,94,58.57
Da'Shawn Hand,2561004,DL,LAC,18,11,1.5,5,1,,,,,,,,,4,5,7,,95,58.33
Adam Butler,2558924,DL,LV,20,30,1,3,,,1,,,,,,,,5,,,96,58.00
Arik Armstead,2552493,DL,JAX,13,15,5.5,7,,1,,,,,,,,,8,,,97,57.50
John Franklin-Myers,2560731,DL,DEN,12,13,7.5,6,,,,,,,,,,,15,,,98,57.30
Dexter Lawrence,2562301,DL,NYG,14,17,0.5,4,1,,,,,,,,,4,8,37,,99,56.93
Kenny Clark,2555282,DL,DAL,17,19,3,6,,,,,,,,,,,9,,,100,56.40
Milton Williams,2566418,DL,NE,15,14,3.5,8,,,,,,,,,,1,8,,,101,56.40
Ashton Gillotte,2574246,DL,KC,14,24,1.5,3,1,,,,,,,,1,1,8,14,,102,56.37
Isaiah McGuire,2569669,DL,CLE,17,13,2,8,,1,,,,,,,,,6,,,103,55.80
John Jenkins,2539231,DL,BAL,16,23,1,3,,2,1,,,,,,,1,1,,11,104,55.67
Kingsley Enagbare,2567589,DL,GB,16,23,2,6,,,,,,,,,,,9,,,105,55.30
Devonte Wyatt,2567640,DL,GB,15,12,4,6,,,,,,,,,,2,7,,,106,55.20
Eyioma Uwazurike,2567535,DL,DEN,16,23,3.5,5,,,,,,,,,,,5,,,107,54.80
Logan Hall,2568303,DL,TB,18,21,1.5,2,,1,,,,,,,,1,6,,,108,54.60
Dorance Armstrong,2560959,DL,WAS,16,8,5.5,7,,,,,,,,,,,7,,,109,53.80
Adetomiwa Adebawore,2569843,DL,IND,14,22,4,5,,,1,,,,,,,,6,,,110,53.70
Malcolm Roach,2564688,DL,DEN,15,26,4,3,,,,,,,,,,,5,,,111,53.10
Grady Jarrett,2552327,DL,CHI,14,25,1.5,1,,,,,,,,,,3,8,,,112,52.00
Derek Barnett,2557984,DL,HOU,13,8,5,8,,,,,,,,,,,10,,,113,51.30
Charles Omenihu,2562324,DL,KC,15,13,3.5,5,,,,,,,,,,,13,,,114,51.30
Zach Harrison,2569555,DL,ATL,9,13,4.5,5,,2,,,,,,,,1,5,,,115,49.80
DaQuan Jones,2543504,DL,BUF,11,11,3,3,1,1,,,,,,,,2,8,1,,116,49.63
Darius Robinson,2572429,DL,ARI,15,28,1,4,,,1,,,,,,,,2,,,117,49.30
Andrew Billings,2555267,DL,CHI,19,12,1,6,,,,,,,,,,,5,,,118,49.20
Tyler Davis,2572192,DL,LAR,14,29,1,1,,,1,,,,,,,2,2,,,119,48.90
T'Vondre Sweat,2572075,DL,TEN,16,18,2,4,,,,,,,,,,1,3,,,120,48.80
Braden Fiske,2572195,DL,LAR,11,19,3,4,,,1,,,,,,,1,10,,,121,48.40
Roy Robertson-Harris,2556665,DL,NYG,19,16,,3,,,,,,,,,,1,6,,,122,48.10
Kris Jenkins,2571928,DL,CIN,18,18,1.5,2,,,,,,,,,,1,3,,,123,47.80
Jamaree Caldwell,2574507,DL,LAC,14,17,1,5,,1,,,,,,,,1,1,,,124,47.20
Arden Key,2560779,DL,TEN,9,13,4,6,,,,,,,,,1,,11,,,125,46.80
Christian Barmore,2566328,DL,NE,15,14,2,4,,,,,,,,,,,11,,,126,46.40
Byron Young,2570053,DL,PHI,13,24,2.5,3,,,1,,,,,,,,4,,,127,46.40
Elijah Ponder,2574381,DL,NE,14,10,4,4,,,2,,,,,,,,5,,18,128,46.10
Davon Godchaux,2558012,DL,NO,14,29,,2,,1,,,,,,,,,1,,,129,45.40
