PlayerName,PlayerId,Pos,Team,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Jason Myers,2553112,K,SEA,48,,,5,14,13,9,,1,1,1,200.00
Ka'imi Fairbairn,2556521,K,HOU,28,,,8,11,16,9,,,,2,195.50
Brandon Aubrey,2571750,K,DAL,47,1,,10,5,10,11,,,,3,186.10
Cameron Dicker,2568435,K,LAC,34,1,,7,14,12,5,,,1,4,169.20
Will Reichard,2572273,K,MIN,31,,,6,9,7,11,,,,5,162.00
Cam Little,2572147,K,JAX,50,1,,5,9,8,8,,,,6,159.60
Jake Bates,2571759,K,DET,54,2,,6,8,9,4,,,,7,149.10
Chase McLaughlin,2563203,K,TB,32,1,,6,9,6,11,,,2,8,148.60
Chris Boswell,2550545,K,PIT,42,1,,6,2,10,9,,,2,9,148.00
Tyler Loop,2573940,K,BAL,44,2,,10,11,8,1,,,,10,140.00
Andy Borregales,2574365,K,NE,53,2,2,6,8,7,4,,,1,11,139.50
Harrison Butker,2558245,K,KC,31,4,1,9,9,9,5,,,,12,137.10
Joey Slye,2563132,K,TEN,26,1,,6,6,7,9,,,,13,135.70
Riley Patterson,2567013,K,MIA,34,1,,5,8,11,3,,,1,14,133.10
Wil Lutz,2556601,K,DEN,39,,,10,11,3,4,,,,15,132.00
Cairo Santos,2550636,K,CHI,39,,,3,8,10,4,,,1,16,129.00
Eddy Pineiro,2560842,K,SF,34,4,,5,7,10,6,,,,17,128.00
Nick Folk,2507225,K,NYJ,22,,,5,9,7,7,,,,18,127.00
Evan McPherson,2565953,K,CIN,41,3,,4,6,10,5,,,,19,127.00
Chad Ryland,2570125,K,ARI,36,,,5,7,7,6,,,1,20,126.00
Blake Grupe,2571234,K,IND,25,,,9,10,3,7,,,2,21,125.50
Jake Elliott,2558172,K,PHI,41,1,,3,6,7,4,,,,22,111.50
Andre Szmyt,2570470,K,CLE,25,1,,4,10,5,5,,,1,23,109.10
Brandon McManus,2541556,K,GB,32,1,,10,8,3,3,,,,24,109.00
Ryan Fitzgerald,2573979,K,CAR,27,3,,6,8,8,2,,,1,25,102.10
Daniel Carlson,2560993,K,LV,21,1,,5,6,6,5,,,,26,99.50
Matt Prater,2506677,K,BUF,46,3,,4,7,6,1,,,1,27,99.20
Zane Gonzalez,2558178,K,ATL,17,1,,1,3,8,7,,,1,28,92.00
Matt Gay,2562271,K,FA,26,,,4,3,6,4,,,1,29,90.00
Harrison Mevis,2572932,K,LAR,39,,,3,3,5,1,,,,30,81.00
Jake Moody,2570308,K,WAS,15,1,,5,7,5,2,,2,1,31,72.00
Charlie Smyth,2572330,K,NO,13,,,1,4,3,4,,,,32,58.00
Spencer Shrader,2573175,K,IND,14,,,5,5,2,1,,,,33,57.00
Mike Badgley,2560965,K,FA,20,5,,1,3,5,2,,,,34,47.00
Joshua Karty,2572201,K,ARI,23,3,,3,3,3,1,,1,2,35,45.50
John Parker Romo,2569101,K,FA,12,1,,2,7,1,1,,,1,36,43.00
Graham Gano,71309,K,NYG,9,,,3,4,1,1,,,,37,38.00
Younghoe Koo,2559205,K,FA,13,1,1,1,2,2,,,,,38,32.60
Ben Sauls,2574499,K,NYG,7,,,3,4,1,,,,,39,32.00
Matthew Wright,2562968,K,BUF,4,,,1,1,3,,,,,40,22.00
Lucas Havrisik,2569534,K,GB,7,2,,,2,1,1,,,,41,16.00
Jude McAtamney,2573503,K,FA,9,3,,1,1,,,,,,42,6.00
Tyler Bass,2563596,K,BUF,,,,,,,,,,,43,0.00
Anders Carlson,2569750,K,FA,,,,,,,,,,,44,0.00
Ryan Coe,2574584,K,FA,,,,,,,,,,,45,0.00
Caden Davis,2574436,K,FA,,,,,,,,,,,46,0.00
Alex Hale,2573890,K,FA,,,,,,,,,,,47,0.00
Dustin Hopkins,2539227,K,FA,,,,,,,,,,,48,0.00
John Hoyland,2573932,K,FA,,,,,,,,,,,49,0.00
Greg Joseph,2561534,K,FA,,,,,,,,,,,50,0.00
Jonathan Kim,2574013,K,FA,,,,,,,,,,,51,0.00
Lenny Krieg,2573911,K,ATL,,,,,,,,,,,52,0.00
Mark McNamee,2574637,K,FA,,,,,,,,,,,53,0.00
Jason Sanders,2561153,K,MIA,,,,,,,,,,,54,0.00
Maddux Trujillo,2574200,K,FA,,,,,,,,,,,55,0.00
Justin Tucker,2536340,K,FA,,,,,,,,,,,56,0.00
Cade York,2567487,K,FA,,,,,,,,,,,57,0.00
Greg Zuerlein,2534797,K,FA,,,,,,,,,,,58,0.00
