PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Jordyn Brooks,2565135,LB,MIA,99,84,3.5,13,,1,1,,,,,,,3,4,,2,1,239.47
Jack Campbell,2569741,LB,DET,89,87,5,9,,3,2,,,,,,,4,5,,2,2,234.27
Devin White,2562781,LB,LV,95,79,2.5,11,1,1,,,,,,,,3,7,,,3,229.40
Cedric Gray,2572063,LB,TEN,97,67,1,7,,,2,,,,,,,4,3,,19,4,212.33
Bobby Wagner,2532966,LB,WAS,79,83,4.5,8,2,,,,,,,,,4,9,7,,5,211.03
Nick Bolton,2566175,LB,KC,73,81,1,10,1,1,,,,,,,,6,7,,,6,200.60
Devin Bush,2562243,LB,CLE,63,62,2,7,3,2,1,2,,,,,,8,4,164,,7,200.17
Foye Oluokun,2561132,LB,JAX,69,74,1,5,1,2,1,,,,,,,11,2,,,8,197.40
Carson Schwesinger,2574064,LB,CLE,67,89,2.5,11,2,,,,,,,,,3,9,16,,9,194.93
Jamien Sherwood,2565762,LB,NYJ,71,83,2,8,,,,,,,,,,8,5,,,10,194.80
Nate Landman,2568519,LB,LAR,64,68,2.5,8,1,4,2,,,,,,,6,5,,,11,190.80
Brian Burns,2562242,LB,NYG,39,28,16.5,22,,3,1,,,,,,,7,31,,23,12,186.57
Bobby Okereke,2562416,LB,NYG,78,65,1,2,2,,1,,,,,,,6,1,54,,13,186.30
Tyrel Dodson,2562560,LB,MIA,72,57,5,10,1,1,1,,,,,,,3,6,,6,14,185.90
Ernest Jones,2566229,LB,SEA,60,66,0.5,4,5,,,1,,,,,,7,1,150,,15,181.10
Eric Wilson,2559012,LB,MIN,60,55,6.5,17,,4,,,,,,,,,10,,,16,180.50
Zack Baun,2564664,LB,PHI,64,59,3.5,7,2,1,1,,,,,,,7,5,,,17,180.40
Germaine Pratt,2562702,LB,IND,67,59,,6,1,1,2,,,,,,,10,,,9,18,179.20
Roquan Smith,2560877,LB,BAL,76,54,,5,,,1,,1,,,,,3,4,,63,19,170.50
Demario Davis,2533008,LB,NO,64,79,0.5,6,,2,1,,,,,,,3,2,,,20,169.90
Payton Wilson,2572456,LB,PIT,75,51,2,6,1,,1,,,,,,,2,4,17,,21,168.17
Tremaine Edmunds,2560713,LB,CHI,61,51,1,3,4,,1,,,,,,,9,3,10,,22,167.93
Kaden Elliss,2562901,LB,ATL,59,48,3.5,10,1,1,,,,,,,,6,10,16,,23,166.83
Lavonte David,2532828,LB,TB,61,53,3.5,8,1,2,2,,,,,,,3,6,3,,24,165.40
Zaire Franklin,2561155,LB,IND,62,63,2,7,,1,,,,,,,,5,6,,,25,164.30
Quay Walker,2567631,LB,GB,58,70,2.5,8,,,,,,,,,,5,7,,,26,162.00
Blake Cashman,2562496,LB,MIN,61,83,2,4,,1,,,,,,,,2,3,,,27,161.30
SirVocea Dennis,2570347,LB,TB,66,35,3,10,1,,,,,,,,,5,7,,,28,160.50
Demetrius Knight Jr.,2574031,LB,CIN,58,48,3,4,2,1,,,,,,,,7,5,39,,29,159.60
Christian Rozeboom,2564394,LB,CAR,59,63,2,7,1,1,1,,,,,,,3,2,20,,30,157.97
Dee Winters,2570296,LB,SF,67,34,,8,1,,,1,,,,,,5,3,74,,31,156.87
Edgerrin Cooper,2572030,LB,GB,63,55,0.5,4,,2,1,,,,,,,4,3,,,32,154.00
Patrick Queen,2563575,LB,PIT,56,64,1,8,,1,1,,,,,,,4,5,,,33,153.40
Alex Singleton,2553739,LB,DEN,54,81,1,3,,1,,,,,,,,4,3,,,34,151.10
Byron Young,2570014,LB,LAR,45,37,12,12,,1,,,,,,,,,29,,,35,149.70
Drake Thomas,2571105,LB,SEA,47,49,3.5,10,1,,1,,,,,,,8,6,,8,36,149.67
