PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Josh Allen,2560955,QB,BUF,3668,25,10,579,14,,,,,,1,7,18.92,112,,112,,,,,11,9,1,358.05
Drake Maye,2572294,QB,NE,4394,31,8,450,4,1,2,,,,2,8,17.99,103,1,104,1,1,100,,4,3,2,346.23
Matthew Stafford,79860,QB,LAR,4707,46,8,1,,,,,,,,7,15.80,29,,29,,,,,1,,3,345.88
Trevor Lawrence,2566163,QB,JAX,4007,29,12,359,9,,,,,,1,5,18.44,82,,82,,,,,8,4,4,336.18
Dak Prescott,2555260,QB,DAL,4552,30,10,177,2,,,,,,3,6,18.71,53,,53,,,,,2,1,5,311.58
Caleb Williams,2571913,QB,CHI,3942,27,7,383,3,2,22,1,,,1,8,17.48,77,2,79,2,2,100,1,4,2,6,308.61
Bo Nix,2572003,QB,DEN,3931,25,11,356,5,,,,,,4,4,12.19,83,,83,,1,,,6,2,7,302.84
Jared Goff,2555334,QB,DET,4564,34,8,45,,,,,,,,6,18.18,19,,19,,,,,,,8,295.29
Jalen Hurts,2564832,QB,PHI,3224,25,6,421,8,,,,,,,8,19.68,105,,105,,,,,11,2,9,293.83
Patrick Mahomes,2558125,QB,KC,3587,22,11,422,5,1,-10,,,,2,3,16.35,64,1,65,1,1,100,,3,,10,283.68
Justin Herbert,2565045,QB,LAC,3727,26,13,498,2,,,,,,1,7,14.38,83,,83,,,,,4,,11,281.75
Baker Mayfield,2560800,QB,TB,3693,26,11,382,1,,,,,,2,11,14.04,55,,55,,,,,2,,12,259.92
Jaxson Dart,2574419,QB,NYG,2272,15,5,487,9,,,,,,1,5,23.26,86,,86,,,,,7,5,13,236.45
Sam Darnold,2561036,QB,SEA,4048,25,14,95,,,,,,,2,11,17.24,35,,35,,,,,4,3,14,232.79
Jordan Love,2564007,QB,GB,3381,23,6,199,,,,,,,2,7,11.05,47,,47,,,,,1,,15,231.44
Jacoby Brissett,2555261,QB,ARI,3366,23,8,168,1,,,,,,1,5,15.16,38,,38,,,,,,,16,226.37
Aaron Rodgers,2506363,QB,PIT,3322,24,7,61,1,1,-9,,,,1,4,17.18,21,1,22,1,1,100,,1,,17,222.58
Daniel Jones,2562299,QB,IND,3101,19,8,164,5,,,,,,1,9,11.64,45,,45,,,,,5,1,18,218.94
Lamar Jackson,2560757,QB,BAL,2549,21,7,349,2,,,,,,1,7,18.54,67,,67,,,,,,,19,212.86
Bryce Young,2569606,QB,CAR,3011,23,11,216,2,,,,,,1,7,19.08,54,,54,,,,,1,,20,212.67
C.J. Stroud,2569819,QB,HOU,3041,19,8,209,1,,,,,,,2,16.59,48,,48,,,,,2,1,21,205.17
Cam Ward,2574164,QB,TEN,3169,15,7,159,2,,,,,,,11,15.96,39,,39,,,,,1,,22,179.59
Brock Purdy,2568216,QB,SF,2167,20,10,147,3,,,,,,1,3,14.48,33,,33,,,,,,,23,175.38
Geno Smith,2539335,QB,LV,3025,19,17,109,,,,,,,1,4,15.46,41,,41,,,,,,,24,170.83
Tyler Shough,2574406,QB,NO,2384,10,6,186,3,,,,,,1,3,15.56,45,,45,,,,,4,3,25,157.39
Tua Tagovailoa,2564499,QB,MIA,2660,20,15,43,,,,,,,1,8,15.12,20,,20,,,,,,,26,150.03
Joe Flacco,382,QB,CIN,2479,15,10,35,1,,,,,,2,3,11.89,21,,21,,,,,,,27,146.66
Justin Fields,2565920,QB,NYJ,1259,7,1,383,4,,,,,,5,4,13.19,71,,71,,1,,1,3,2,28,140.53
Joe Burrow,2563722,QB,CIN,1809,17,5,41,,,,,,,,,11.89,14,,14,,,,,,,29,134.46
Mac Jones,2566334,QB,SF,2151,13,6,60,,,,,,,1,4,14.48,36,,36,,,,,,,30,128.54
J.J. McCarthy,2572270,QB,MIN,1632,11,12,181,4,,,,,,1,6,15.31,37,,37,,,,,1,1,31,121.21
Marcus Mariota,2552466,QB,WAS,1695,10,7,297,1,,,,,,1,6,14.16,50,,50,,,,,1,1,32,119.50
Michael Penix Jr.,2571814,QB,ATL,1982,9,3,70,1,,,,,,1,4,13.78,21,,21,,,,,1,,33,118.15
Jayden Daniels,2572564,QB,WAS,1262,8,3,278,2,,,,,,1,3,14.16,58,,58,,,,,1,,34,114.65
Kirk Cousins,2532820,QB,ATL,1721,10,5,7,1,,,,,,,3,13.78,14,,14,,,,,,,35,100.51
Spencer Rattler,2572327,QB,NO,1586,8,5,167,,1,,,,,,4,15.56,31,1,32,1,2,50,,,,36,96.14
Shedeur Sanders,2574063,QB,CLE,1400,7,10,169,1,,,,,,,2,19.26,21,,21,,,,,,,37,83.50
Kyler Murray,2562382,QB,ARI,962,6,3,173,1,,,,,,,1,15.16,29,,29,,,,,,,38,77.65
