PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Christian McCaffrey,2557997,RB,SF,,,,1202,10,102,924,7,,,,2,17.17,311,102,413,102,129,79,17,54,25,1,367.70
Jonathan Taylor,2564148,RB,IND,,,,1585,18,46,378,2,,,1,2,19.15,323,46,369,46,55,84,4,39,16,2,340.80
Bijan Robinson,2569558,RB,ATL,,,,1478,7,79,820,4,,,1,4,20.40,287,79,366,79,103,77,9,19,10,3,330.30
Jahmyr Gibbs,2569747,RB,DET,,,,1223,13,77,616,5,,,,2,20.23,243,77,320,77,94,82,10,22,8,4,328.40
De'Von Achane,2570062,RB,MIA,,,,1350,8,67,488,4,,,,1,17.43,238,67,305,67,85,79,7,15,6,5,292.80
James Cook,2567328,RB,BUF,,,,1621,12,33,291,2,,,,6,25.19,309,33,342,33,40,83,3,23,7,6,280.70
Derrick Henry,2556075,RB,BAL,,,,1595,16,15,150,,,,,4,17.29,307,15,322,15,21,71,1,30,13,7,271.50
Chase Brown,2569642,RB,CIN,,,,1019,6,69,437,5,,,1,2,21.18,232,69,301,69,88,78,6,14,6,8,249.60
Kyren Williams,2567862,RB,LAR,,,,1252,10,36,281,3,,,,2,26.33,259,36,295,36,50,72,6,27,12,9,245.30
Travis Etienne,2566157,RB,JAX,,,,1107,7,36,292,6,,,,1,21.23,260,36,296,36,52,69,9,29,10,10,235.40
Javonte Williams,2566049,RB,DAL,,,,1201,11,35,137,2,,,,2,24.44,252,35,287,35,51,69,5,24,10,11,227.80
Josh Jacobs,2562377,RB,GB,,,,929,13,36,282,1,,,,3,18.89,234,36,270,36,44,82,5,26,10,12,218.10
Ashton Jeanty,2574298,RB,LV,,,,975,5,55,346,5,,,,2,18.81,266,55,321,55,73,75,5,15,9,13,217.10
Saquon Barkley,2560968,RB,PHI,,,,1140,7,37,273,2,,,1,1,24.46,280,37,317,37,50,74,3,17,10,14,216.30
D'Andre Swift,2563965,RB,CHI,,,,1087,9,34,299,1,,,,2,19.13,223,34,257,34,48,71,2,14,7,15,211.60
Rico Dowdle,2565295,RB,CAR,,,,1076,6,39,297,1,,,,2,21.68,236,39,275,39,50,78,2,11,3,16,200.97
Jaylen Warren,2568493,RB,PIT,,,,958,6,40,333,2,,,,1,20.68,211,40,251,40,45,89,4,16,7,17,195.10
Kenneth Gainwell,2566397,RB,PIT,,,,537,5,73,486,3,,,,2,20.68,114,73,187,73,85,86,10,17,12,18,192.40
Breece Hall,2568030,RB,NYJ,4,1,,1065,4,36,350,1,,,,2,23.70,243,36,279,36,48,75,2,8,4,19,191.89
TreVeyon Henderson,2574374,RB,NE,,,,911,9,35,221,1,,,,1,21.50,180,35,215,35,42,83,3,14,6,20,189.70
RJ Harvey,2574090,RB,DEN,,,,540,7,47,356,5,,,,1,18.19,146,47,193,47,58,81,7,16,7,21,183.10
Kenneth Walker III,2568282,RB,SEA,,,,1027,5,31,282,,,,,1,20.78,221,31,252,31,36,86,,3,,22,177.50
Zach Charbonnet,2570335,RB,SEA,,,,730,12,20,144,,,,1,,20.78,184,20,204,20,24,83,2,21,10,23,173.00
Tony Pollard,2562699,RB,TEN,,,,1082,5,33,206,,,,,4,17.36,242,33,275,33,41,80,,5,3,24,169.30
Rhamondre Stevenson,2566343,RB,NE,,,,603,7,32,345,2,,,2,3,21.50,130,32,162,32,37,86,2,6,2,25,162.80
Quinshon Judkins,2574053,RB,CLE,,,,827,7,26,171,,,,1,,27.92,230,26,256,26,36,72,,9,4,26,156.80
David Montgomery,2562502,RB,DET,3,1,,716,8,24,192,,,,1,2,20.23,158,24,182,24,29,83,1,17,11,27,152.62
Tyrone Tracy Jr.,2572351,RB,NYG,,,,740,2,36,288,2,,,,1,22.98,176,36,212,36,48,75,3,5,,28,142.80
Woody Marks,2574174,RB,HOU,,,,703,2,24,208,3,,1,,1,18.76,196,24,220,24,36,67,6,11,9,29,140.13
Kyle Monangai,2574015,RB,CHI,,,,783,5,18,164,,,,2,,19.13,169,18,187,18,30,60,,9,2,30,139.73
Kareem Hunt,2557917,RB,KC,,,,611,8,18,143,1,,,,2,22.64,163,18,181,18,25,72,2,18,5,31,136.90
Jacory Croskey-Merritt,2574608,RB,WAS,,,,805,8,9,68,,,,,4,21.83,175,9,184,9,13,69,2,11,6,32,131.80
