PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Trey McBride,2568117,TE,ARI,,,,,,126,1239,11,,,,,10.23,,126,126,126,169,75,23,6,7,1,252.90
Kyle Pitts,2565830,TE,ATL,,,,,,88,928,5,,,,,10.39,,88,88,88,118,75,6,1,3,2,169.80
Dallas Goedert,2560995,TE,PHI,,,,,,60,591,11,,,,,13.81,,60,60,60,82,73,14,2,9,3,158.10
Travis Kelce,2540258,TE,KC,,,,1,,76,851,5,,,1,1,8.29,1,76,77,76,108,70,4,1,2,4,156.80
Harold Fannin Jr.,2574043,TE,CLE,,,,13,1,72,731,6,,,,1,19.13,7,72,79,72,107,67,5,,3,5,150.97
Tyler Warren,2574204,TE,IND,,,,8,1,76,817,4,,,,1,10.33,6,76,82,76,112,68,7,3,2,6,150.93
Jake Ferguson,2567496,TE,DAL,,,,1,,82,600,8,,,1,3,9.71,1,82,83,82,102,80,12,3,5,7,149.10
Hunter Henry,2555341,TE,NE,,,,,,60,768,7,,,,,14.19,,60,60,60,87,69,9,2,4,8,148.80
Brock Bowers,2572219,TE,LV,,,,2,,64,680,7,,,1,,9.62,2,64,66,64,86,74,11,3,7,9,147.20
Juwan Johnson,2564676,TE,NO,,,,,,77,889,3,,,,2,8.16,,77,77,77,102,75,2,,,10,141.40
Colston Loveland,2574014,TE,CHI,,,,-2,,58,713,6,,,,,10.71,1,58,59,58,82,71,6,2,3,11,137.60
Dalton Schultz,2560866,TE,HOU,,,,,,82,777,3,,,,1,13.33,,82,82,82,106,77,4,,3,12,136.80
George Kittle,2558266,TE,SF,,,,-3,,57,628,7,,,,,12.71,1,57,58,57,69,83,10,4,3,13,134.50
AJ Barner,2572513,TE,SEA,,,,14,1,52,519,6,,,,2,12.87,10,52,62,52,68,76,7,1,4,14,121.40
Colby Parkinson,2565180,TE,LAR,,,,,,43,408,8,,,,1,13.39,,43,43,43,56,77,14,4,6,15,109.80
Mark Andrews,2560957,TE,BAL,,,,48,1,48,422,5,,,,1,15.31,10,48,58,48,70,69,3,1,3,16,108.00
Oronde Gadsden II,2574511,TE,LAC,,,,,,49,664,3,,,,1,12.42,,49,49,49,69,71,6,,3,17,107.50
Theo Johnson,2572333,TE,NYG,,,,,,45,528,5,,,,,10.14,,45,45,45,74,61,6,1,2,18,105.30
Dalton Kincaid,2569594,TE,BUF,,,,,,39,571,5,,,,1,12.53,,39,39,39,49,80,2,,1,19,104.60
Tucker Kraft,2569768,TE,GB,,,,3,,32,489,6,,,,,9.19,1,32,33,32,44,73,11,2,3,20,101.20
Zach Ertz,2540158,TE,WAS,,,,,,50,504,4,,,1,1,6.38,,50,50,50,72,69,3,,2,21,100.90
