PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Puka Nacua,2570026,WR,LAR,,,,105,1,129,1715,10,,,,1,25.72,10,129,139,129,166,78,10,5,6,1,310.50
Jaxon Smith-Njigba,2570341,WR,SEA,,,,36,,119,1793,10,,,,3,27.38,7,119,126,119,163,73,14,3,7,2,300.90
Amon-Ra St. Brown,2566073,WR,DET,,,,9,,117,1401,11,,,,1,30.69,3,117,120,117,172,68,20,6,10,3,270.10
Ja'Marr Chase,2565941,WR,CIN,,,,14,,125,1412,8,,,,1,21.56,3,125,128,125,185,68,12,3,4,4,258.60
George Pickens,2568159,WR,DAL,,,,,,93,1429,9,,,1,4,29.66,,93,93,93,137,68,9,1,4,5,241.40
Chris Olave,2567973,WR,NO,,,1,-3,,100,1163,9,,,,,29.20,1,100,101,100,156,64,6,,2,6,219.50
Zay Flowers,2569573,WR,BAL,,,,62,1,86,1211,5,,,,3,28.74,10,86,96,86,118,73,3,1,1,7,204.30
Davante Adams,2543495,WR,LAR,,,,,,60,789,14,,,,,25.72,,60,60,60,114,53,24,1,16,8,194.40
Nico Collins,2566127,WR,HOU,,,,15,1,71,1117,6,,,1,1,30.59,2,71,73,71,120,59,5,,4,9,190.70
Jameson Williams,2567565,WR,DET,,,,12,,65,1117,7,,,,,30.69,6,65,71,65,102,64,4,1,2,10,188.90
Courtland Sutton,2560888,WR,DEN,,,,,,74,1017,7,,,1,,23.96,,74,74,74,124,60,7,1,2,11,185.70
Michael Wilson,2570224,WR,ARI,,,,,,78,1006,7,,,,,29.41,,78,78,78,126,62,7,1,,12,184.60
Tee Higgins,2563731,WR,CIN,,,,,,59,846,11,,,1,,21.56,,59,59,59,98,60,6,,5,13,183.10
A.J. Brown,2562238,WR,PHI,,,,,,78,1003,7,,,,,30.10,,78,78,78,121,64,5,,4,14,181.30
Tetairoa McMillan,2573992,WR,CAR,,,,,,70,1014,7,,,,1,25.71,,70,70,70,122,57,7,1,3,15,180.90
Wan'Dale Robinson,2568012,WR,NYG,,,,5,,92,1014,4,,,,1,34.29,3,92,95,92,140,66,3,,2,16,171.40
Drake London,2567250,WR,ATL,,,,,,68,919,7,,,1,1,23.73,,68,68,68,112,61,10,,7,17,170.90
Stefon Diggs,2552608,WR,NE,,,,,,85,1013,4,,,,,25.53,,85,85,85,102,83,6,1,5,18,170.80
Alec Pierce,2567715,WR,IND,,,,,,47,1003,6,,,,,21.85,,47,47,47,84,56,4,,3,19,166.80
Jaylen Waddle,2566292,WR,MIA,8,,,28,,64,910,6,,,,1,25.39,2,64,66,64,100,64,6,3,2,20,166.72
CeeDee Lamb,2563848,WR,DAL,,,,2,,75,1077,3,,,,,29.66,1,75,76,75,117,64,5,1,,21,164.90
Emeka Egbuka,2574585,WR,TB,,,,9,,63,938,6,,,1,,22.95,2,63,65,63,127,50,2,,,22,164.20
Michael Pittman,2564136,WR,IND,,,,,,80,784,7,,,1,,21.85,,80,80,80,111,72,8,1,4,23,163.90
DK Metcalf,2562685,WR,PIT,,,,12,1,59,850,6,,,,,30.37,2,59,61,59,99,60,6,2,3,24,163.70
DeVonta Smith,2566409,WR,PHI,,,,,,77,1008,4,,,,,30.10,,77,77,77,113,68,6,3,3,25,163.30
Justin Jefferson,2564556,WR,MIN,,,,7,,84,1048,2,,,,,26.34,2,84,86,84,141,60,4,,2,26,161.60
Parker Washington,2569888,WR,JAX,,,,,,58,847,5,2,,,2,29.74,7,58,65,58,95,61,9,2,4,27,155.70
Deebo Samuel Sr.,2562721,WR,WAS,,,,75,1,72,727,5,,,,3,22.63,17,72,89,72,99,73,6,3,2,28,154.80
Ladd McConkey,2572477,WR,LAC,,,,,,66,789,6,,,,,21.91,,66,66,66,106,62,9,1,3,29,149.40
Troy Franklin,2571997,WR,DEN,,,,12,,65,709,6,,,3,1,23.96,5,65,70,65,104,63,10,5,4,30,147.60
Jauan Jennings,2565114,WR,SF,,,,,,55,643,9,,,1,1,23.54,,55,55,55,90,61,13,2,5,31,147.30
Quentin Johnston,2570275,WR,LAC,,,,7,,51,735,8,,,,1,21.91,2,51,53,51,84,61,11,3,1,32,147.20
DJ Moore,2560813,WR,CHI,2,1,,79,1,50,682,6,,,,1,31.33,15,50,65,50,85,59,4,1,3,33,146.68
